Id appearances modularity_class
esquerdalixo 2337 9
amazonas 4060 16
j10 2932 14
lulasim 8311 7
anitta 4768 7
bitcoin 1308 1
nba 5285 14
elonmusk 2813 14
neymar 4384 9
flamengo 6573 11
globo 15686 14
brésil 4666 1
band 3382 14
recordtv 2017 14
sbt 4992 14
fantastico 11398 14
socialismo 2285 1
afp 1043 14
cbsnews 3474 12
domingoespetacular 6241 14
abcnews 3394 12
cnnbrasil 21377 14
jornaloglobo 1295 14
guardian 1575 14
juntospelobrasil 3137 7
vivalula 1137 7
putin 1701 1
lulanaoeinocentebabaca 9403 9
simone 1490 1
bomdiabrasil 16989 0
bomdiasp 13555 0
governalismo 1874 3
ciro12 43139 3
ciroaunicavia 2507 3
cironoflow 1700 3
debatepresidencial 2141 14
maga 2102 1
rebeldiadaesperança 1157 3
expresidiário 1643 9
lulacondenado 1704 1
globolixoderretendo 12330 9
brazilian 1946 1
president 1471 1
bolsonaronoprimeiroturno22 70550 9
shorts 1181 7
cristão 5774 1
direitaseguedireita 3456 9
patriota 1379 1
impunidade 1919 1
riodejaneiro 27170 1
timedolula 5825 7
família 5742 1
viral 3079 7
cnnnaseleicoes 1954 14
descondenado 2344 9
chile 2267 1
lapaz 2844 13
btc 1834 6
eth 1120 6
lulagigante 1115 7
bolsonaro22ate2026 3983 9
juntossomosmaisfortes 1195 9
corrupção 5087 1
respeito 1365 1
todopoderemanadopovo 1908 9
bolsominion 1404 7
podcast 2349 7
agoraéciro 9675 3
lulaassassino 1247 9
lulaeleitonoprimeiroturno 11973 7
lulanabahia 1522 7
jornalista 1627 8
g1 10463 14
ba 15164 0
forabolsonarocorruptoeseudesgoverno 1161 7
datafolha 4503 7
fakenews 12996 1
news 2431 1
quemmandoumatarcelsodaniel 1301 9
jb22 5594 9
bolivia 5075 13
equipelula 25216 7
tvpt 4326 14
amazonia 1393 1
pantanal 2300 7
desenrolasp 1341 9
falabrasil 1414 14
pânico 1314 14
record 2648 14
uol 5058 14
se 16308 0
video 1070 1
cirosim 1984 3
expresidiario 5949 9
politics 1104 1
patriagrande 1760 7
bbb22 3149 14
ptnão 2058 9
minas 2280 1
vergonha 3097 1
agronegócio 1051 1
evangélicos 6740 3
orçamentosecreto 2288 7
eleicoes 16198 1
presidentelula 2604 7
cirorebeldiadaesperança 1381 3
haddadgovernadorsp13 13556 7
mudabrasil 1328 7
piauí 1093 1
haddad13 41804 7
brasilfelizdenovo 3271 7
elesim 2428 9
voltapt 5617 7
bolsonaroaté2026 2104 4
cnnlixo 28227 9
bresil 3111 1
france 1585 1
ptorganizacaocriminosa 4479 9
lulapreso 4753 9
bolsocaro 1565 14
mundo 2684 1
lulabandido 2681 9
lulavagabundo 1072 9
bandido 2917 9
racista 1192 1
fake 1163 1
lulamente 3627 9
portugal 2891 1
jesus 6564 1
sdvtodos 48382 7
mentiras 5339 1
miseria 2037 1
chorapt 1075 9
ptlixo 1968 9
comunismoesmiseria 1837 9
onu 2701 1
cuba 6374 7
