Id appearances modularity_class
obolsonaro 2230 9
papiloscopistas 1504 5
lulanoflow 21442 7
papiloscopista 5598 5
lulaladraomentiroso 1935 9
derretembl 1323 9
zerohora 1358 14
gabinetedoamor 2296 7
11agostopelademocracia 1258 7
censuranuncamais 4377 9
wseries 1617 14
bolsonaronocaraatapa 1624 9
forabolsonarogenocidamiliciano 1138 7
bolsonaronorica 1620 9
manifestacoespacificas 1041 1
fujao 5290 9
lulafujão 1037 9
republicanparty 2885 12
capitaonorica 1997 9
cironorodaviva 2098 3
janonescassado 1364 1
luladay 57439 7
reestatizaeletrobras 43656 7
liberdadereligiosa 1588 1
abahiatemlado 4358 7
pcdobcomlula 1201 7
bolsonaronaglobo 2672 9
tarcísio10 6859 9
elvisgovernador12 1375 3
neymarjr 3554 9
haddadporsaopaulo 1368 7
professorabebelnossavozmaisforte 1133 7
lulaembh 4382 7
pl2258não 1353 7
capitaobolsonaro 4329 9
capitaobolsonaro22 5069 9
globonewsmais 1188 14
lulasubiugasolinacaiu 1085 7
assineicartadopovo 1049 7
jovemklan 1221 1
ipec 1646 7
13lá13cá 4317 7
lulaedegar13 1376 7
oliviosenador131 4212 7
debatesbt 1843 14
políciamilitar 2395 1
sãojosédoscampos 1402 1
abahiaé13 5119 7
onyx22 1415 9
mourãosenador 7609 9
lulaladraorouboumeucoracao 1046 7
vote22bolsonaro 8067 9
votebolsonaro22 26122 9
jairbolsonaropresidente22 4649 9
edegar13 2347 7
carlaopignatarinuncamais 1204 1
cristaos 1905 1
vote30 1236 14
leandrograss43 1702 7
simonepresidente15 4351 3
vexamedemoraes 2005 9
kalil55 2439 7
sofiamanzano21 1599 2
mariadorosario1370 1029 7
fratelliditalia 2890 12
bdmg 21921 0
bolsolaodarobotica 5390 7
bolsolaodoasfalto 7015 7
lularoubouobrasil 6423 9
deuseamor 1302 1
marcospontes222 9169 9
evangelico 2337 1
reelsviral 1235 7
sosffaa 25486 1
lulanoplanalto 1964 1
presidentebolsonaro22 1524 9
fezefaz 1206 7
guimarães1322 1240 7
rachadinhadojanones 4890 9
timão 1113 7
voto2022 1667 9
gospel 3082 1
tarcisiogovernadorsp10 36091 1
j13 2229 7
brasilesperança 1655 7
cartadopovo 5299 7
tchutchucadocentrao 8237 7
evangelho 1091 1
worldcup2022 1139 1
travessia 1143 7
militaquevira 1425 3
militaquevira12 2286 3
tarcisionão 6942 7
evangelicoscomlula 6554 15
marilia77 1428 7
cristianismo 1630 1
vote100 16873 9
éavezdomourão 6664 9
lulaeoptaverdadevencera 6945 7
lulapelobrasilhaddadporsp 11070 7
lulaeoptaverdadevencerá 3947 7
morosenadorpr444 1388 9
foramentiroso 23344 7
lulafujao 1796 9
molon400 2662 7
lulapelobrasilkalilpormg 2353 7
ogovernodecepcionaaanittanão 1318 7
vote21 2565 2
camilosenador131 1325 7
lulacompovo 1826 7
votolula13 2312 7
lulaeptepccjuntos 1738 9
gritodosexcluidos 1589 7
debatenaglobo 59732 7
somos13 1489 7
ultimasnoticias 1029 1
catolico 1767 1
gravíssimo 2112 9
bolsonaroreeeleito 1346 9
agrocombolsonaro 2114 9
bolsonaronojn 6088 9
bolsonaronojornalnacional 1271 9
lulaobrasilabracalula 4695 7
bollsonaronuncamais 4521 7
forabolsoeleveseusfillhos 4867 7
marcospontessenadorsp222 1104 9
brasildaesperanca13 6231 7
sucre 2691 13
forabonner 1453 9
oglobonaseleicoes 2241 7
luladraotchutchucadopcc 4053 9
alexandresilveira555 1221 7
word 1527 1
eleicões 1319 9
lulanojn 26018 7
dompedro 2200 17
uoleleições2022 1799 7
twittercensura 22352 9
incompetentes 1291 1
bolsonaronoironberg 1008 9
videoproibido 1210 9
bolsonaronopanico 4939 9
lulanaglobo 55677 7
uoleleicoes2022 1099 7
luciafrança 1396 7
cirotv 17411 3
belomonte 1620 16
impeachmentdoalexandredemoraes 1041 9
rachadinhadodanones 1626 9
luladrãotchutchucadopcc 3704 9
luladraocorruptochefedopcc 6829 9
pachecocovarde 22719 9
lulanoprigmeiroturno 22027 7
janoneseuautorizo 14914 7
andrejanones7040 2424 7
lulanojornalnacional 8217 7
eleicoesbrasil2022 1341 1
cadêosenadofederal 1919 9
euautorizojanones 6794 7
euvoto12 2534 3
boavista 1056 1
radio 5056 9
pakistan 1082 1
lulaeoptjáno1ºturno 3409 7
euvoudeverdeeamarelo 2020 9
lulapelobrasilfreixopelorj 2255 7
voteprofessoredward1310 3685 7
lulaeoptjano1ºturno 21449 7
tebet15 3348 3
afazenda14 4298 7
sexo 1575 7
lulahaddad 1900 7
cadêapgr 1867 9
lulanaband 30792 7
globolixoepetista 6482 9
lulaemcuritiba 1133 7
tarcisiogomesgovernadorsp10 40888 9
senamadureira 1832 16
macapá 1245 1
debatedaband 1667 7
fraudeeleitoral 2785 1
lulapelobrasiljerônimopelaba 1015 7
católicos 4218 3
bolsonaronaband 7930 9
cf1988 8421 1
cironaband 2989 3
haddademcampinas 1912 7
esquerdismoédoença 1858 4
debatenacultura 1056 9
eutôcomlula 1436 7
soumulheresoubolsonaro 1179 9
veravergonhadojornalismo 1097 9
vemprarualuladrão 1082 9
lulaexpresidiário 2169 9
lulaexpresidiario 2425 9
soraya44 1711 14
euvotoemprojeto 1537 3
mazelascronicas 1185 1
voudelula 11319 7
lulaobrasilpedevotelula 1561 7
lulaéinocente 1023 7
abusodeautoridade 1053 1
lulasatanista 1425 9
cirocresce 6583 3
euvotobolsonaro22 21192 9
afazenda 3438 7
lulalarapioementiroso 1283 9
vídeos 1002 1
lula13edegarpretto13 1880 7
cironaglobo 1169 3
devolveodinheirojanones 1268 9
lulaeopt13defioapavio 9317 7
jairbtemmeuvoto 2627 9
lulaeuautorizo 1312 7
manifestacoes 3005 1
lulaogritodeamorpelobrasil 7871 7
boicote55 3080 9
lula13praobrasilserfelizdenovo 1008 7
caminhoneiroscombolsonaro 6632 1
pa 14961 0
spacedos24dias 2017 7
batista 2020 1
7deseptiembre 1235 9
manifestacao 1640 1
broxonaro 1808 7
jairbroxonaro 4399 7
professoredward1310 1781 7
emirates 2077 1
nemalckminnembolsonaro 1644 3
7desetembro22foigigante 7984 9
lulaeoptúnicaviajáno1ºturno 1010 7
armadas 1027 1
votoútilderrotaoinútil 1140 7
votoutilderrotaoinutil 4609 7
votoutilpraderrotaroinutil 3356 7
lulaeoptunicaviajano1ºturno 3784 7
lulanacnn 4977 7
cop27 4803 7
marcospontes222senadorsp 4067 9
vouvotarnociro 11343 3
oledeladrao 25045 9
oldeladrao 1000 9
reestatizeeletrobras 1682 7
lulacorruppto 1064 9
verdadeirovotoutil 8469 3
verdadeirovotoútil 1026 3
somostodoscaminhoneiros 2358 1
lulaflix 7981 9
deuciro 1177 3
patriotabrasiljmb 2400 9
maçonaria 1789 9
lulaeoptobrasiltempressa 9039 7
itapiranga 1474 16
assembléia 1439 1
benção 1534 1
dízimo 1219 1
protestante 1923 1
prefirolula13 1470 7
debatenosbt 9239 14
haddad13governador 2160 7
deusfamíliabrasil 1149 9
enganador 1148 9
bolsonaroworldshame 1733 7
bolsonaronaonu 4297 9
mahsaamini 1352 1
lulanosbt 1961 7
mentirosodaonu 1450 7
respeitameuvoto 3359 3
religiosos 2952 3
acabousonaro 5079 7
cajueiro 1678 16
bolsonaroreeleito2️⃣2️⃣ 95474 9
estamoscomcirogomes 3649 3
cirocontraosistema 4224 3
spacedos10dias 2343 7
mejorsinbloqueo 1090 7
jerolula 1390 7
tabata_amaral 1752 1
orgulhodesernordestino 1497 7
مهسا_امینی 1032 1
lulanoratinho 2151 7
propinanopneu 1740 7
cpidaspesquisas 19029 9
lulaeopttudonoprimeiroturno 25816 7
socirovencelula 4275 3
giorgiameloni 2908 12
lulamentequenemsente 4432 9
debatepresidente 6222 14
meuvotonaoanistiabandido 1652 3
cristaoscombolsonaro22 1057 9
tsetchutchucadopt 1067 9
querociro12presidente 1730 3
padrekelmon 2836 14
agoraésoraya 1100 14
forasoraya 1510 9
timon 2173 17
esseémeuvoto 4680 7
santarita 2290 17
votenulo 6765 15
voleinaglobo 2466 14
debatedaglobo 1457 7
intervencaomilitar 4126 1
debateglobo 3543 7
pedofilo 9659 7
agoraelula 5603 7
ciromanifestoanacao 3559 3
brasilvota22 24741 9
tiragomes 8047 7
bolsonaronarecord 4805 9
brazilianelections 2148 1
lnão 1142 9
sabatinanarecord 5416 9
rachadinhanoplanalto 2113 7
brasilvolta22 3261 9
forabolsonaroémeuovo 1825 4
traíraénapanela 1825 4
saojosedoscampos 3939 1
haddadnaglobo 5747 7
censoya 1618 13
bolsoney 6632 9
superlive 1959 9
neymarcombolsonaro 1396 9
diganaoacensura 1569 9
sabatinasbt 3193 7
lulaparaobrasilserfelizdenovo 2604 7
fraud 1170 1
eleicoesnaglobo 1351 7
manacapuru 1429 16
domingoélula 3009 7
lulaeopt13já 1697 7
lulaeopt13decaboarabo 6511 7
brasilelige 1751 1
tarcisiogov 3002 1
capitaopelobemdanacao 6419 9
lulapresidenteamanha 1028 7
brasilebolsonaro 1016 9
capitaoparaobemdanacao 4496 9
bolsominionsnãopassarão 1099 7
viana 2130 17
euvotobolsonaro2022 1588 9
tanahoradojairembora 1686 7
eleicoessp 4855 1
luladrãonacadeiaja 1100 9
apuracao 1120 7
viravotobolsonaro 4721 1
bolsonaronosegundoturno 3428 9
bolsonaronosegundoturno22 2485 9
lulanosegundoturno 29983 7
lulano2ºturno 4834 7
bolsonarofesta 2169 1
brasilsurf 2028 1
veterans 2187 1
illinois 1234 1
iowa 1234 1
northdakota 1234 1
southdakota 1234 1
montana 1075 1
ndiana 1212 1
wyoming 1197 1
reeleitos 1283 1
cpidasurnas 1044 9
30deoutubro 1285 7
caxias 2196 17
lulapresidente1️⃣3️⃣ 80975 7
bolsonarosatanista 11274 7
maconaria 1412 7
nordestemerepresenta 1833 7
bolsonaromacom 1377 7
yomiuri 1233 0
lnao 1492 9
cristaonaovotaembolsonaro 7797 15
bolsonaromaconaria 1988 7
cristaoscontrabolsonaro 7068 15
agoraélulaagoraé13 1261 7
umbandistas 3318 3
jairsatanista 1131 9
crente 1210 1
lula13nosegundoturno 1360 7
nordestefortecombolsonaro 1939 9
grbrasilsdv 1991 9
bolsonarocanibal 15917 7
naodesista 1235 7
eunaoacreditoempesquisas 2197 9
canibal 1218 7
lulapresidente1️⃣3️⃣1️⃣3️⃣ 2437 7
contraacensuradopt 32226 9
censuradopt 4091 9
contracensuradopt 6690 9
ptfobico 11085 9
diadonordestino 4590 7
haddadgovernadorsp1️⃣3️⃣ 20210 7
cristaonaovotanobozo 6786 15
pi 15012 0
eleiçoesbrasil 1141 1
quemanulavotalula 12150 9
lulaeoptuniaoepaz 3011 7
naoacensuradopt 1342 9
bolsonaroditador 1359 7
lulapresidente1⃣3⃣ 64799 7
barreiradovasco 1636 16
capela 1615 16
coqueiroseco 1615 16
coruripe 1615 16
felizdeserto 1615 16
flexeiras 1615 16
jundiá 1361 16
maragogi 1615 16
matagrande 1615 16
novolino 1615 16
olivença 1615 16
singapura 1625 16
águabranca 1615 16
tarcisionao 2301 7
frete 1078 1
transporte 1104 1
dia30vote22 9556 9
naoacensuraddopt 1239 9
sãoluis 2362 17
haddadgovernador1️⃣3️⃣ 2523 7
kardecistas 3379 3
eleicoessemsacanagem 4198 9
esquerdaseguelesquerda 14842 7
lulapresident2022 15247 7
foralulaptnuncamais 1292 9
abaixopec32 1137 7
aguias_sdvjb 2327 9
haddadnaband 2109 7
apuí 1357 16
barcelos 1360 16
bocadoacre 1441 16
canutama 1495 16
careiro 1322 16
ipixuna 1322 16
itamarati 1327 16
japurá 1366 16
lábrea 1504 16
novalima 1331 16
novoairão 1184 16
tonantins 1322 16
uarini 1322 16
urucará 1495 16
damarespervertida 5756 7
brasilsemmedo 2988 7
ptnãoéumaopção 7702 9
andrevaladaomentiroso 2252 7
bolsonaropresidente2️⃣2️⃣ 9647 9
bolsonaroreeleito2️⃣2️⃣2️⃣2️⃣ 2609 9
spacedolula 5659 7
lulanoalemao 2185 7
candoblecistas 3208 3
kimbandistas 3176 3
cpx 1412 1
damaresmerecerespeito 2385 9
lulanuncamaislulanuncamais 1097 9
andrevaladãomentiroso 1205 7
pedofiliaécrime 1063 7
católiconãovotanojair 1019 7
ptnaoeumaopcao 1055 9
codó 2171 17
catoliconaovotanojair 9361 7
lulacpxdocrime 1607 9
lulaladraoecorrupto 7283 9
barreirinha 1471 16
coari 1575 16
sãogabrieldacachoeira 1578 16
estamosjuntoscapitão 8747 9
saidoarmárionicolas 4878 7
lulanaofoiinocentado 5222 9
saidoarmárionikolas 6061 7
sosforcasarmadas 8201 1
tônamissão 1328 9
todasasflores 1152 7
lula13meuvotoéseu 6243 7
arraesgovernadoradepe 1440 7
haddadnosbt 3340 7
brasil_greatshots 2035 9
lula13meuvotoeseu 1214 7
dia30vamosaposentarlula 8288 9
diadoprofessor 1547 7
sosforçasarmadas 1183 1
sabatinacomhaddad 2799 7
nordestevota22 2341 9
dia30votebolsonaro2️⃣2️⃣ 2611 9
bolsonaropervertido 2879 7
pintouumclima 29036 7
bolsonaroodeiaprofessor 2395 7
bolsonaroodeiaservidorpúblico 2254 7
bolsonaropedófilo 9095 7
bolsonaropedofilo 13710 7
lulapresidente1⃣3️⃣ 34760 7
forabolsonaropedofilo 2722 7
deciogovernadorsc13 1729 7
lulapedófilo 1027 9
lulapedofilo 2230 9
pintouumcrime 6206 7
pintoumclima 1739 7
lulaneoliberal 1099 3
renunciajanones 1665 9
pintoupedofilia 1910 7
haddadgovernadorsp1⃣3⃣ 7229 7
janonesnoconselhodeetica 2432 9
solução 1088 1
lulanegouaguaparanordeste 2038 9
forapedofilia 23322 7
skatenosporttv 2987 14
forabolsonaropedófilo 1756 7
brasildaesperanca1️⃣3️⃣ 6930 7
facabonito 3822 7
tarcisiovive 2017 9
tarcisiopresente 2015 9
sousimonevotolula 3876 15
amigofiel 1991 9
amigosirmãos 1991 9
amigosparasiempre 1991 9
amigoss 1810 9
pazury 1640 9
amore 1777 9
amoremio 1991 9
amores 1958 9
pazinterior 1991 9
ptnuncamias 2154 9
climadecrime 1004 7
bolsonejo 2164 9
bolsonarofalamerda 1455 7
bolsonarofazmerda 1450 7
lulanoflowpodcast 1878 7
lulacovardeearregao 1070 9
lulatransfobico 19845 9
censurapreviadopt 3697 9
censuradotse 2148 9
lulatransfóbico 1714 9
lulapresidente20221️⃣3️⃣ 47987 7
minasvirou 2078 9
jovempanlivre 2260 9
vempraruabrasil 1250 1
pv43 1196 7
tsedacensura 1352 9
lulachefedeorganizaçãocriminosa 1070 9
jpcensurada 2414 9
tsevergonhadobrasil 1693 9
mulherescombolsonarosp 1409 9
haddadnoflow 2880 7
otse 1481 1
luladitadorcensuradopt 3511 9
vote22porsualiberdade 2163 9
jovempansobcensura 1694 9
virabrasil 13484 1
eleicaocomprada 10102 7
tsenãomandaemmim 1516 9
bolsonaronointeligência 4307 9
bolsonaronointeligencia 10970 9
tse2022 1048 1
bolsonaropedofilosim 1152 7
bolsonaronaomexanomeusalario 17748 7
naomexanomeusalario 10736 7
renunciadanones 1117 9
censuranãoliberdadesimvote22 2158 9
bolsonaronaomexanasaposentadorias 1079 7
bolsonaronaomechanomeusalario 1116 7
lulafechadocompcc 1260 9
itemsfantasmas 2432 13
jairviciadoemmentir 6436 7
beni 2819 13
bolivianos 2706 13
bolivisiónaldía 1194 13
chuquisaca 2810 13
cobija 2758 13
cochabamba 2782 13
elalto 2805 13
oruro 2575 13
panamapapers 2309 13
pandorapapers 2259 13
potosi 2565 13
wiphala 2089 13
bolsoplay 2394 7
tsestflixos 1577 9
censuranaoliberdadesimvote22 2913 9
midterms2022 1294 1
livedavirada 2875 7
naomechanomeusalario 1399 7
naomexanomeusalário 1032 7
sabatinabolsonaro 4641 9
lula13brasilsemódio 2210 7
lula13brasilsemodio 2175 7
superlivebolsonaro22 10494 9
superlive22 1093 9
superlivebolsonaro 5197 9
daumgooglepndh3 4251 9
daumgooglepnhd3 1996 9
superlivedebolsonaro 1084 9
superlivecombolsonaro 3892 9
bolsonarocensuroujanones 1717 7
superlivecombolsonaro22 1652 9
robertojeffersonnacadeia 1943 7
lulacorruptoditador 1462 9
lulanodlshow 6582 7
lula13probrasilsorrirdenovo 3262 7
robertojeffersonebolsonaro 1708 9
pedofiliacrimehediondo 1082 7
jeanineáñez 3233 1
bomjardim 2190 17
bolsonarismoatiranapolícia 1048 7
naomexanaminhaaposentadoria 1076 7
bolsojeff 1918 7
bolsonaroinimigodosaposentados 4892 7
vamostodos13 2167 7
acrelandia 1093 1
amarantedomaranhão 2169 17
araioses 2169 17
açailandia 2169 17
barreirinhas 2169 17
coroatá 2129 17
estreito 2169 17
parnarama 2169 17
penalva 2169 17
pioxii 2148 17
poçodolumiar 2169 17
riachão 2148 17
rosário 2129 17
turiaçu 2169 17
nãofoipelas154mil 4617 9
todosporbolsonaro 1321 9
agoraelula13 23382 7
bolsonarismoatirapolicia 23440 7
bolsonaroodeiaaposentados 23445 7
bolsonaroodeiaservidorespublicos 16175 7
naomechanaaposentadoria 23387 7
naomechanosalario 23352 7
parabenslula 1122 7
quemmandoumatarbebiano 7217 7
inserçõesroubadas 1952 9
radiolãodopt 1559 9
fraudepestista 1884 9
tarcisiomiliciano 1223 7
radiogate 5343 9
radiolaodopt 18825 9
caminhoneirossalvemobrasil 3421 1
radiolao 12153 9
jairemdesespero 1419 7
radiolaodoptcrimeeleitoral 1352 9
radiolaodotse 2073 9
haddadgovernador1⃣3⃣ 3676 7
esquerdinha 1000 9
lulalá2022 1027 7
felizaniversariolula 1791 7
impeachmentpachecoja 3733 9
saopaulonaovotaemassassino 2813 7
sãopaulonãovotaemassassino 4469 7
voleimineiro2022 1214 9
quemmatoufelipe 1813 7
tarcisionodebate 7553 1
bolsojeffnaprisao 1632 7
milicianao 2724 7
nemtodoheroiusacapa 1670 7
bolsonarodia30 1789 9
lula13pelavidapelobrasil 1897 7
federaçãobrasildaesperança 1190 7
pv43oficial 1190 7
vicegovernadora13 1158 7
vicegovernadorasp13 1158 7
salariominimobolsonaro1400 1836 9
lulacontraomei 1267 9
lulacriouomei 1014 7
salariominimo1400combolsonaro 1794 9
soumineiraevoto22 2068 9
luanaraujo 1603 1
caminhoneirosparemobrasil 5026 1
31oct 1404 1
brasilrenaceconlula 2408 1
sosbrazil 1331 1
euapoiooscaminhoneiros 1300 1
caminhoneiroseuautorizo 1183 1
caminhoneirospelobrasil 3108 1
resistenciacivil 6984 1
caminhoneiroseuapoio 1197 1
intervençãofederal 1312 1
intervencaofederal 6550 1
brazilianspring 32823 1
vempraruabrazil 8612 1
resistenciacivil2022 1079 1
inúteis 1281 1
ladraonaosobearampa 1546 9
lulaalegriabrasileira 2931 7
caminhoneiros22 1081 1
demitaumpetista 1951 1
resistenciacivilbrasil 2756 1
matteosalvini 2889 12
intervencaofederalmilitar 2785 1
logística 1075 1
brazilspring 2383 1
truckersforfreedom 2092 1
ptcomorgulho 1159 7
forcasarmadassalvemobrasil 1051 1
bdba 7016 0
bddf 6259 0
bdgo 6999 0
bdms 6944 0
bdmt 7029 0
bdpb 7066 0
bdpe 6307 0
bdrs 6935 0
bdsc 6251 0
naoincrementoorcamento2023 1932 0
vemproquartel 2980 1
brasilwasstolen 4131 1
brazilwasstolen 37699 1
brasilfoiroubado 1874 1
helpbrazil 1155 1
brazilelectoralfraud 3678 1
braziliansfightingfortrue 2600 1
brazilianstaketostreets 3826 1
lulapresidenteobrigadobrasil 2219 7
brazilwasstolem 1056 1
fazon 1855 1
robôsnasruas 1254 1
brazilianscensored 3580 1
nbcnews 3259 12
braziliansprings 2261 1
brazilwassotolen 1124 1
braziliancensorship 1918 1
truckersforbrazil 1915 1
keshet 2893 12
rainews 2893 12
sz 2851 12
fooorabolsonaro 1242 7
patife 1133 9
arutzsheva 2884 12
asahi_shimbun 2884 12
el_pais 2884 12
jornalabc 2884 12
reshet 2884 12
yomiuri_news 2884 12
resistencia1651dias 2068 14
repórternacional 5157 0
atentadoademocracia 2045 9
joice_hasselmann 1742 1
trabalhoemcasa 1428 7
cristaoscomlula13 1560 7
quemmatoufelipesilva 1041 7
casaciro 1960 3
malandro 1088 9
pandilheiro 1088 9
querolulapreso 1077 9
direiraraizébolsonaro 1320 9
forawitzel 1320 9
jovemkkk 1157 1
ignóbeis 1280 1
ineptos 1280 1
reforma_da_previdência 1376 1
lulavailheenganardenovo 1782 9
desperdiciodetempo 1180 1
cidadaniaameaçada 1188 1
mercantilizaçaohumana 1188 1
participaçaodetodoscandidatos 2142 1
segurançaalimentarjá 1848 1
civilidadesempre 1590 1
violenciapoliticanao 1590 1
violaçãodosistemaeleitoral 1925 9
danilobalasdepestadual22007 2912 9
capaugustodepfederal2200 3350 9
