ID Appearances
bolsonaro22ate2026 3983
juntossomosmaisfortes 1195
corrupção 5087
respeito 1365
todopoderemanadopovo 1908
bolsominion 1404
podcast 2349
agoraéciro 9675
lulaassassino 1247
lulaeleitonoprimeiroturno 11973
lulanabahia 1522
jornalista 1627
g1 10463
ba 15164
forabolsonarocorruptoeseudesgoverno 1161
datafolha 4503
fakenews 12996
news 2431
quemmandoumatarcelsodaniel 1301
jb22 5594
bolivia 5075
equipelula 25216
tvpt 4326
amazonia 1393
pantanal 2300
desenrolasp 1341
falabrasil 1414
pânico 1314
record 2648
uol 5058
se 16308
video 1070
cirosim 1984
expresidiario 5949
politics 1104
patriagrande 1760
bbb22 3149
ptnão 2058
minas 2280
vergonha 3097
agronegócio 1051
evangélicos 6740
orçamentosecreto 2288
eleicoes 16198
presidentelula 2604
cirorebeldiadaesperança 1381
haddadgovernadorsp13 13556
mudabrasil 1328
piauí 1093
haddad13 41804
brasilfelizdenovo 3271
elesim 2428
voltapt 5617
bolsonaroaté2026 2104
cnnlixo 28227
bresil 3111
france 1585
ptorganizacaocriminosa 4479
lulapreso 4753
bolsocaro 1565
mundo 2684
lulabandido 2681
lulavagabundo 1072
bandido 2917
racista 1192
fake 1163
lulamente 3627
portugal 2891
jesus 6564
sdvtodos 48382
mentiras 5339
miseria 2037
chorapt 1075
ptlixo 1968
comunismoesmiseria 1837
onu 2701
cuba 6374
bolsonaronoprimeiroturno2022 1272
luladrãonacadeia 1183
portalr7 1227
r7 3950
brasileiro 5658
futuro 1391
psol 2516
lulaeoptporvidasesonhos 12014
tse 16259
lulanão 3962
censuradostf 1957
lulaprimeiroturno 2427
lulaladraoteulugarenaprisao 1649
folha 8184
eleiçoes2022 99314
nordeste 40163
deusacimadetudo 1589
janja 3328
lulalivre 3370
lulapelobrasil 3433
rjtv 16897
urgente 3471
sosbrasil 23497
cultura 1218
ptpcc 1136
bolsonaropresidente 43235
patriotas 8208
foraalexandredemoraes 4037
motociata 1957
compartilhe 1278
mulheres 1918
rj 3581
ejairoujaera 20388
bolsonarotemrazão 38866
justiça 2510
colombia 2478
binance 1192
mito22 1211
bolsonaropresidente2022 14935
contra 2000
da 1151
marchaparajesus 1635
michellebolsonaro 2841
ciroounulo 2045
lgbt 1857
lgbtq 1605
esquerdalhasnuncamais 10315
de 2493
votonulo 7583
jornalnacional 16892
f1 7828
f1naband 2916
fia 6314
teamlh 1399
instagram 2505
god 1068
rt 2155
lulaladrãonacadeia 2806
alckiminnuncamais 9353
psdbnuncamais 9226
brasilia 6143
alagoas 4183
google 1161
ブラジル 2363
foraluladrao 1460
tvcultura 1608
intervencaofederalja 8228
deus 11663
internet 1556
twitter 3001
belém 2938
campinas 1002
olinda 1307
petrolina 2414
saopaulo 28005
youtube 1597
timedelula 4007
deuspatriafamilialiberdade 10214
lulabrasil 1191
fechadocomciro 1807
somos1300 63791
éjairoujáera 1222
aprovadospf2021 1423
geraldoalckmin 1750
gop 2991
texas 1317
amigos 2217
jair 8881
censorship 1426
fantástico 1394
aumentodecargosjá 2813
bolsonaro2022reeleito 1155
barrosonacadeia 22996
lulapresidentedobrasil 1151
lula13noprimeiroturno 9913
fortaleza 3447
curitiba 1148
deputadofederal 3312
cubaporlapaz 1698
conservador 2741
direita 7690
foracomunismo 1034
l 1047
foralulaladrao 6530
ptcc 1888
vote13 75591
cadeia 2559
que 2565
amor 6382
pr 14906
forabolsonarogenocida 12218
brasile 3393
janones 3478
novo 1429
tebet 3211
forabolsonarocorrupto 10142
lulaeoptreconstruirobrasil 9321
morosenador2022 1137
rs 16366
oi 1654
soraya 1352
pix 1186
natal 2492
direitaunida 10428
fraude 13753
belohorizonte 4485
bh 16392
japan 2156
china 1529
lulalixo 2650
semmedodeserfeliz 12614
dolar 1173
racismo 7753
eletrobraspública 19130
petrolão 1015
forafascismo 23637
vida 2677
bíblia 2184
boicoteaopsd55 11957
policia 1061
sbtbrasil 2169
corinthians 3944
bomdia 3845
bandjornalismo 4959
jornaldaband 2436
nft 1534
poderpopular 1348
impeachmentdealexandredemoraes 1127
eleicao 2079
love 2901
democraciasempre 3813
ditaduranuncamais 13707
mei 1454
somostodosbolsonaro 13813
sãopaulo 30319
morningshow 2150
naovotenodem 1335
hipócritas 1417
df 1730
ahora 1251
lulagenocida 7416
osasco 1187
timelula 1729
decreto65021 2479
pdl22 2383
aborto 1145
sus 1034
psb 2164
riograndedosul 3066
mg 3406
minasgerais 43032
direitos 1621
eleição 3204
venezuela 5768
bandnewstv 4589
rodaviva 2218
ceara 4266
assinapresidente 3115
br 2784
escritora 1005
país 1797
convocatodospfeprf 35820
naoaodecreto9739 47501
bdsp 7935
sp2 8420
biblia 1088
educacao 1060
portoalegre 2854
ditaduradatoga 2302
jornalismo 1327
ultimahora 1446
caixa 2785
golpe 4517
convocatodosprf 4754
pormaispapiloscopistaspf 41706
acre 2640
vote 8872
contecomigobolsonaro 1582
blacklivesmatter 1771
alckmin 3457
fato 2531
bolsonaristas 2429
tôcomlula 2694
haddadgovernador13 24110
nfl 1488
wsl 1870
na 1580
elasim 1208
europe 1449
brasilien 3767
pt13 2460
bolsonaromentiroso 26517
cpidomecjá 1640
lulaeladrao 1073
ceará 1723
copacabana 1275
elenuncamais 1065
jairmessiasbolsonaro 4353
policiafederal 11691
sófaltaaeconomia 7215
bolsomito 8787
convocatodospf 5739
comitêpopulardigitaldelutatwitter 1063
moropresidente2026 1061
paraná 2635
pl2564 1376
sbtnews 1230
convocatodospf2021 43458
paz 6453
caminhoneiro 1099
agora 1251
haddad 11385
no 1111
emprego 3304
brasília 3519
haddadgovernador 5405
lula2023 1617
lulinha 2697
enfermagem 2122
redebbb 5921
senadofederalvergonhanacional 14497
soulula 6696
é13 6148
eleicoes22 1273
stfnãomerepresenta 1030
3em1 7382
direitaconservadora 8371
russia 2733
sancionapl2564 1894
jovempan 6489
lulaabortista 1107
para 1881
cristao 3481
facebook 1114
parana 1097
empauta 3684
eua 2078
centro 1066
aprende 1918
desperta 2756
dinheiro 2095
adeusbolsonaro 1300
pecdasbondades 1224
lulanacadeiaatemofar 1007
fazoldolula 1476
avante 1152
elections 1058
luladasilva 2588
lulalá 7312
mensalao 1015
eleicões2022 2237
jg 1761
repostandroid 1211
repostw10 1213
mdb 2931
bolsonarista 1250
patriaamadabrasil 1840
tbt 11862
peace 1418
anittalulou 4850
bolsonaroassassino 2127
lulaeoptunindoobrasil 11567
bolsonarismomata 60757
uniãobrasil 1396
bnb 2275
bsc 1729
halloween 1095
spky 1323
spookyshiba 1323
distritofederal 1032
lulaapoiacrime 14150
marceloarrudapresente 2535
exercito 1119
euavisei 2276
lulano1ºturno 198104
elassempre 1999
elassim 2605
elesnão 2278
bolsonarodefendebandido 4973
pintosawards 1163
bolsonaromerepresenta 1240
eduardobolsonaro 4046
fascismo 2944
pe 15506
cnnportugal 2922
sptv 16427
cnnbrasil360 6672
cidadealerta 1838
evangelicos 3725
lavajato 3535
acoselva 1377
cojae 1369
dojae 1346
falaportaldaradio 1379
artigo142 1966
lula22 2083
nytimes 2824
cubaporlavida 1081
parabenspresidentelula 1083
ja 1018
oglobo 5167
fechadoscombolsonaro 6350
fé 1220
mentiroso 6378
deputado 1754
aumentodecargosprf 6963
faz 3184
exercitobrasileiro 5555
zambelli 3762
lulachefedequadrilha 1532
urnas 1625
eleccionesbrasil2022 3690
ffaa 5840
redeglobo 1014
bdes 6955
bdpr 6843
bdrj 21551
primeiroimpacto 6070
tsevergonhanacional 12723
elpaís 1801
lemonde 1729
segdirs 1272
contratacaixa 4341
edicao10 1516
comunismo 3424
sic 2404
elenão 2738
corruptos 1674
voleinosportv 1211
manaus 5219
brasildecide 3031
piaui 1118
brasilurgente 1787
forças 1022
pingosnosis 1184
evomorales 2594
nicaragua 1820
dialogo 2182
maranhão 2926
lulanoprimeiroturno2022 1439
allandossantos 2567
lisa 1240
governo 3048
marielle 2157
mulherescombolsonaro 19643
evangélico 2414
imperatriz 2222
gbrasilsdv 4785
políticos 2041
vemprarualula 1212
foraalcolumbre 1393
foramaia 1396
stflixo 1071
corruption 1283
bolsonaromiliciano 3324
bolsonaroreeleito22 50799
bozo 3656
saude 1789
simone15 4806
ditador 2504
pm 3711
impeachmentfachin 1211
impeachmentalexandredemorais 2078
bolsonaromito 9719
22neles 1495
boraganharessejogo 1682
larapio 1197
lulaarregao 3814
conexaoglobonews 1314
acorda 1034
bolsonaro22reeleito 3824
bolsolão 2289
debate 8022
cidadania 10374
lulavergonhanacional 21004
mulherescomlula 3908
bandnewsfm 5363
foraalckmin 1561
dubai 2113
noticia 1857
ukraine 2961
cirogomespresidente 3183
13elevoltara 2155
simboracomlula13 2553
tarcisio10 61731
matogrosso 1392
marciofrancasenador 1206
deputadafederal 1040
jornaldacnn 1047
sergipe 3657
sancionabolsonaro 1104
up 1112
psdb 2289
ptbrasil 2405
nossabandeirajamaisserávermelha 2224
bolsonaroladrão 2015
sbtrio 2263
encontro 6743
hojeemdia 4702
jogoaberto 1125
maisvoce 5149
masterchef 4522
teamlh44 4642
bolsonaroodeiapobre 5042
lulaladrãoseulugarénaprisão 3442
lulaekalil 1848
lei 1649
liberdadedeexpressao 1840
juizdefora 1339
bbcnews 4276
lulaéocara 3033
7desetembrovaisergigante 21174
camaradeputados 7215
diariodepernambuco 5910
diariodonordeste 5912
estadodeminas 5902
uolnews 6851
forabolsonaromentiroso 15333
gabrielmonteiro 1257
sos 1666
bolsonaroodeiapobres 23984
euconfionobolsonaro 3835
justica 1463
jaircadavezmaisforte 1091
brasileira 1617
estamosjuntoscapitao 2347
bolsonarocovarde 1947
manifestação 1991
lulaempernambuco 1675
debatecnn 1921
7desetembroeuvou 9407
edicao18 1163
cristãos 4368
tseorganizacaocriminosa 7071
verdade 1580
alexandredemoraes 2006
lulaeoptpaixaopelobrasil 3325
hugocarvahal 1353
efeitolula 1062
stfrompeuademocracia 12127
62minutos 5379
somosbrasil 2251
liberdadedeexpressão 1490
deusnocomando 1724
pesquisas 2583
rodrigopachecoconivente 18508
carlosbolsonaro 4231
rompendoapolarizacao 1381
alencarsantanadepfed 1472
professorabebeldepsp 1186
forabolsonaristas 1047
bolsonaropresidente22 112304
ptnao 22402
terroristas 1061
africa 1330
forcasarmadas 1293
zema 1021
basta 1294
recordnews 5333
spacedomuka 2583
reeleito 1028
bolsolaodolixo 1709
bolsolaodoviagra 6281
jr24h 1105
midiacomprada 1095
felipepresidente 2512
foraguedes 1528
atenção 6157
alexandre 1165
freixo40 7935
cristo 2521
igreja 5334
acabou 3222
