ID Appearances
lula13edegarpretto13 1880
cironaglobo 1169
devolveodinheirojanones 1268
lulaeopt13defioapavio 9317
jairbtemmeuvoto 2627
lulaeuautorizo 1312
manifestacoes 3005
lulaogritodeamorpelobrasil 7871
boicote55 3080
lula13praobrasilserfelizdenovo 1008
caminhoneiroscombolsonaro 6632
pa 14961
spacedos24dias 2017
batista 2020
7deseptiembre 1235
manifestacao 1640
broxonaro 1808
jairbroxonaro 4399
professoredward1310 1781
emirates 2077
nemalckminnembolsonaro 1644
7desetembro22foigigante 7984
lulaeoptúnicaviajáno1ºturno 1010
armadas 1027
votoútilderrotaoinútil 1140
votoutilderrotaoinutil 4609
votoutilpraderrotaroinutil 3356
lulaeoptunicaviajano1ºturno 3784
lulanacnn 4977
cop27 4803
marcospontes222senadorsp 4067
vouvotarnociro 11343
oledeladrao 25045
oldeladrao 1000
reestatizeeletrobras 1682
lulacorruppto 1064
verdadeirovotoutil 8469
verdadeirovotoútil 1026
somostodoscaminhoneiros 2358
lulaflix 7981
deuciro 1177
patriotabrasiljmb 2400
maçonaria 1789
lulaeoptobrasiltempressa 9039
itapiranga 1474
assembléia 1439
benção 1534
dízimo 1219
protestante 1923
prefirolula13 1470
debatenosbt 9239
haddad13governador 2160
deusfamíliabrasil 1149
enganador 1148
bolsonaroworldshame 1733
bolsonaronaonu 4297
mahsaamini 1352
lulanosbt 1961
mentirosodaonu 1450
respeitameuvoto 3359
religiosos 2952
acabousonaro 5079
cajueiro 1678
bolsonaroreeleito2️⃣2️⃣ 95474
estamoscomcirogomes 3649
cirocontraosistema 4224
spacedos10dias 2343
mejorsinbloqueo 1090
jerolula 1390
tabata_amaral 1752
orgulhodesernordestino 1497
مهسا_امینی 1032
lulanoratinho 2151
propinanopneu 1740
cpidaspesquisas 19029
lulaeopttudonoprimeiroturno 25816
socirovencelula 4275
giorgiameloni 2908
lulamentequenemsente 4432
debatepresidente 6222
meuvotonaoanistiabandido 1652
cristaoscombolsonaro22 1057
tsetchutchucadopt 1067
querociro12presidente 1730
padrekelmon 2836
agoraésoraya 1100
forasoraya 1510
timon 2173
esseémeuvoto 4680
santarita 2290
votenulo 6765
voleinaglobo 2466
debatedaglobo 1457
intervencaomilitar 4126
debateglobo 3543
pedofilo 9659
agoraelula 5603
ciromanifestoanacao 3559
brasilvota22 24741
tiragomes 8047
bolsonaronarecord 4805
brazilianelections 2148
lnão 1142
sabatinanarecord 5416
rachadinhanoplanalto 2113
brasilvolta22 3261
forabolsonaroémeuovo 1825
traíraénapanela 1825
saojosedoscampos 3939
haddadnaglobo 5747
censoya 1618
bolsoney 6632
superlive 1959
neymarcombolsonaro 1396
diganaoacensura 1569
sabatinasbt 3193
lulaparaobrasilserfelizdenovo 2604
fraud 1170
eleicoesnaglobo 1351
manacapuru 1429
domingoélula 3009
lulaeopt13já 1697
lulaeopt13decaboarabo 6511
brasilelige 1751
tarcisiogov 3002
capitaopelobemdanacao 6419
lulapresidenteamanha 1028
brasilebolsonaro 1016
capitaoparaobemdanacao 4496
bolsominionsnãopassarão 1099
viana 2130
euvotobolsonaro2022 1588
tanahoradojairembora 1686
eleicoessp 4855
luladrãonacadeiaja 1100
apuracao 1120
viravotobolsonaro 4721
bolsonaronosegundoturno 3428
bolsonaronosegundoturno22 2485
lulanosegundoturno 29983
lulano2ºturno 4834
bolsonarofesta 2169
brasilsurf 2028
veterans 2187
illinois 1234
iowa 1234
northdakota 1234
southdakota 1234
montana 1075
ndiana 1212
wyoming 1197
reeleitos 1283
cpidasurnas 1044
30deoutubro 1285
caxias 2196
lulapresidente1️⃣3️⃣ 80975
bolsonarosatanista 11274
maconaria 1412
nordestemerepresenta 1833
bolsonaromacom 1377
yomiuri 1233
lnao 1492
cristaonaovotaembolsonaro 7797
bolsonaromaconaria 1988
cristaoscontrabolsonaro 7068
agoraélulaagoraé13 1261
umbandistas 3318
jairsatanista 1131
crente 1210
lula13nosegundoturno 1360
nordestefortecombolsonaro 1939
grbrasilsdv 1991
bolsonarocanibal 15917
naodesista 1235
eunaoacreditoempesquisas 2197
canibal 1218
lulapresidente1️⃣3️⃣1️⃣3️⃣ 2437
contraacensuradopt 32226
censuradopt 4091
contracensuradopt 6690
ptfobico 11085
diadonordestino 4590
haddadgovernadorsp1️⃣3️⃣ 20210
cristaonaovotanobozo 6786
pi 15012
eleiçoesbrasil 1141
quemanulavotalula 12150
lulaeoptuniaoepaz 3011
naoacensuradopt 1342
bolsonaroditador 1359
lulapresidente1⃣3⃣ 64799
barreiradovasco 1636
capela 1615
coqueiroseco 1615
coruripe 1615
felizdeserto 1615
flexeiras 1615
jundiá 1361
maragogi 1615
matagrande 1615
novolino 1615
olivença 1615
singapura 1625
águabranca 1615
tarcisionao 2301
frete 1078
transporte 1104
dia30vote22 9556
naoacensuraddopt 1239
sãoluis 2362
haddadgovernador1️⃣3️⃣ 2523
kardecistas 3379
eleicoessemsacanagem 4198
esquerdaseguelesquerda 14842
lulapresident2022 15247
foralulaptnuncamais 1292
abaixopec32 1137
aguias_sdvjb 2327
haddadnaband 2109
apuí 1357
barcelos 1360
bocadoacre 1441
canutama 1495
careiro 1322
ipixuna 1322
itamarati 1327
japurá 1366
lábrea 1504
novalima 1331
novoairão 1184
tonantins 1322
uarini 1322
urucará 1495
damarespervertida 5756
brasilsemmedo 2988
ptnãoéumaopção 7702
andrevaladaomentiroso 2252
bolsonaropresidente2️⃣2️⃣ 9647
bolsonaroreeleito2️⃣2️⃣2️⃣2️⃣ 2609
spacedolula 5659
lulanoalemao 2185
candoblecistas 3208
kimbandistas 3176
cpx 1412
damaresmerecerespeito 2385
lulanuncamaislulanuncamais 1097
andrevaladãomentiroso 1205
pedofiliaécrime 1063
católiconãovotanojair 1019
ptnaoeumaopcao 1055
codó 2171
catoliconaovotanojair 9361
lulacpxdocrime 1607
lulaladraoecorrupto 7283
barreirinha 1471
coari 1575
sãogabrieldacachoeira 1578
estamosjuntoscapitão 8747
saidoarmárionicolas 4878
lulanaofoiinocentado 5222
saidoarmárionikolas 6061
sosforcasarmadas 8201
tônamissão 1328
todasasflores 1152
lula13meuvotoéseu 6243
arraesgovernadoradepe 1440
haddadnosbt 3340
brasil_greatshots 2035
lula13meuvotoeseu 1214
dia30vamosaposentarlula 8288
diadoprofessor 1547
sosforçasarmadas 1183
sabatinacomhaddad 2799
nordestevota22 2341
dia30votebolsonaro2️⃣2️⃣ 2611
bolsonaropervertido 2879
pintouumclima 29036
bolsonaroodeiaprofessor 2395
bolsonaroodeiaservidorpúblico 2254
bolsonaropedófilo 9095
bolsonaropedofilo 13710
lulapresidente1⃣3️⃣ 34760
forabolsonaropedofilo 2722
deciogovernadorsc13 1729
lulapedófilo 1027
lulapedofilo 2230
pintouumcrime 6206
pintoumclima 1739
lulaneoliberal 1099
renunciajanones 1665
pintoupedofilia 1910
haddadgovernadorsp1⃣3⃣ 7229
janonesnoconselhodeetica 2432
solução 1088
lulanegouaguaparanordeste 2038
forapedofilia 23322
skatenosporttv 2987
forabolsonaropedófilo 1756
brasildaesperanca1️⃣3️⃣ 6930
facabonito 3822
tarcisiovive 2017
tarcisiopresente 2015
sousimonevotolula 3876
amigofiel 1991
amigosirmãos 1991
amigosparasiempre 1991
amigoss 1810
pazury 1640
amore 1777
amoremio 1991
amores 1958
pazinterior 1991
ptnuncamias 2154
climadecrime 1004
bolsonejo 2164
bolsonarofalamerda 1455
bolsonarofazmerda 1450
lulanoflowpodcast 1878
lulacovardeearregao 1070
lulatransfobico 19845
censurapreviadopt 3697
censuradotse 2148
lulatransfóbico 1714
lulapresidente20221️⃣3️⃣ 47987
minasvirou 2078
jovempanlivre 2260
vempraruabrasil 1250
pv43 1196
tsedacensura 1352
lulachefedeorganizaçãocriminosa 1070
jpcensurada 2414
tsevergonhadobrasil 1693
mulherescombolsonarosp 1409
haddadnoflow 2880
otse 1481
luladitadorcensuradopt 3511
vote22porsualiberdade 2163
jovempansobcensura 1694
virabrasil 13484
eleicaocomprada 10102
tsenãomandaemmim 1516
bolsonaronointeligência 4307
bolsonaronointeligencia 10970
tse2022 1048
bolsonaropedofilosim 1152
bolsonaronaomexanomeusalario 17748
naomexanomeusalario 10736
renunciadanones 1117
censuranãoliberdadesimvote22 2158
bolsonaronaomexanasaposentadorias 1079
bolsonaronaomechanomeusalario 1116
lulafechadocompcc 1260
itemsfantasmas 2432
jairviciadoemmentir 6436
beni 2819
bolivianos 2706
bolivisiónaldía 1194
chuquisaca 2810
cobija 2758
cochabamba 2782
elalto 2805
oruro 2575
panamapapers 2309
pandorapapers 2259
potosi 2565
wiphala 2089
bolsoplay 2394
tsestflixos 1577
censuranaoliberdadesimvote22 2913
midterms2022 1294
livedavirada 2875
naomechanomeusalario 1399
naomexanomeusalário 1032
sabatinabolsonaro 4641
lula13brasilsemódio 2210
lula13brasilsemodio 2175
superlivebolsonaro22 10494
superlive22 1093
superlivebolsonaro 5197
daumgooglepndh3 4251
daumgooglepnhd3 1996
superlivedebolsonaro 1084
superlivecombolsonaro 3892
bolsonarocensuroujanones 1717
superlivecombolsonaro22 1652
robertojeffersonnacadeia 1943
lulacorruptoditador 1462
lulanodlshow 6582
lula13probrasilsorrirdenovo 3262
robertojeffersonebolsonaro 1708
pedofiliacrimehediondo 1082
jeanineáñez 3233
bomjardim 2190
bolsonarismoatiranapolícia 1048
naomexanaminhaaposentadoria 1076
bolsojeff 1918
bolsonaroinimigodosaposentados 4892
vamostodos13 2167
acrelandia 1093
amarantedomaranhão 2169
araioses 2169
açailandia 2169
barreirinhas 2169
coroatá 2129
estreito 2169
parnarama 2169
penalva 2169
pioxii 2148
poçodolumiar 2169
riachão 2148
rosário 2129
turiaçu 2169
nãofoipelas154mil 4617
todosporbolsonaro 1321
agoraelula13 23382
bolsonarismoatirapolicia 23440
bolsonaroodeiaaposentados 23445
bolsonaroodeiaservidorespublicos 16175
naomechanaaposentadoria 23387
naomechanosalario 23352
parabenslula 1122
quemmandoumatarbebiano 7217
inserçõesroubadas 1952
radiolãodopt 1559
fraudepestista 1884
tarcisiomiliciano 1223
radiogate 5343
radiolaodopt 18825
caminhoneirossalvemobrasil 3421
radiolao 12153
jairemdesespero 1419
radiolaodoptcrimeeleitoral 1352
radiolaodotse 2073
haddadgovernador1⃣3⃣ 3676
esquerdinha 1000
lulalá2022 1027
felizaniversariolula 1791
impeachmentpachecoja 3733
saopaulonaovotaemassassino 2813
sãopaulonãovotaemassassino 4469
voleimineiro2022 1214
quemmatoufelipe 1813
tarcisionodebate 7553
bolsojeffnaprisao 1632
milicianao 2724
nemtodoheroiusacapa 1670
bolsonarodia30 1789
lula13pelavidapelobrasil 1897
federaçãobrasildaesperança 1190
pv43oficial 1190
vicegovernadora13 1158
vicegovernadorasp13 1158
salariominimobolsonaro1400 1836
lulacontraomei 1267
lulacriouomei 1014
salariominimo1400combolsonaro 1794
soumineiraevoto22 2068
luanaraujo 1603
caminhoneirosparemobrasil 5026
31oct 1404
brasilrenaceconlula 2408
sosbrazil 1331
euapoiooscaminhoneiros 1300
caminhoneiroseuautorizo 1183
caminhoneirospelobrasil 3108
resistenciacivil 6984
caminhoneiroseuapoio 1197
intervençãofederal 1312
intervencaofederal 6550
brazilianspring 32823
vempraruabrazil 8612
resistenciacivil2022 1079
inúteis 1281
ladraonaosobearampa 1546
lulaalegriabrasileira 2931
caminhoneiros22 1081
demitaumpetista 1951
resistenciacivilbrasil 2756
matteosalvini 2889
intervencaofederalmilitar 2785
logística 1075
brazilspring 2383
truckersforfreedom 2092
ptcomorgulho 1159
forcasarmadassalvemobrasil 1051
bdba 7016
bddf 6259
bdgo 6999
bdms 6944
bdmt 7029
bdpb 7066
bdpe 6307
bdrs 6935
bdsc 6251
naoincrementoorcamento2023 1932
vemproquartel 2980
brasilwasstolen 4131
brazilwasstolen 37699
brasilfoiroubado 1874
helpbrazil 1155
brazilelectoralfraud 3678
braziliansfightingfortrue 2600
brazilianstaketostreets 3826
lulapresidenteobrigadobrasil 2219
brazilwasstolem 1056
fazon 1855
robôsnasruas 1254
brazilianscensored 3580
nbcnews 3259
braziliansprings 2261
brazilwassotolen 1124
braziliancensorship 1918
truckersforbrazil 1915
keshet 2893
rainews 2893
sz 2851
fooorabolsonaro 1242
patife 1133
arutzsheva 2884
asahi_shimbun 2884
el_pais 2884
jornalabc 2884
reshet 2884
yomiuri_news 2884
resistencia1651dias 2068
repórternacional 5157
atentadoademocracia 2045
joice_hasselmann 1742
trabalhoemcasa 1428
cristaoscomlula13 1560
quemmatoufelipesilva 1041
casaciro 1960
malandro 1088
pandilheiro 1088
querolulapreso 1077
direiraraizébolsonaro 1320
forawitzel 1320
jovemkkk 1157
ignóbeis 1280
ineptos 1280
reforma_da_previdência 1376
lulavailheenganardenovo 1782
desperdiciodetempo 1180
cidadaniaameaçada 1188
mercantilizaçaohumana 1188
participaçaodetodoscandidatos 2142
segurançaalimentarjá 1848
civilidadesempre 1590
violenciapoliticanao 1590
violaçãodosistemaeleitoral 1925
danilobalasdepestadual22007 2912
capaugustodepfederal2200 3350
