Label Appearances
brasilcombolsonaro 13347
cpidapetrobras 306
impeachmentalexandre 236
juntoscombolsonaro 6942
luladitador 4853
stfgabinetedocrime 609
stforganizaçãocriminosa 1412
forabolsonarovagabundo 42227
lulaealckminprimeiroturno 6
22noprimeiroturno 21
assumaodescontrole 7
publi 27
aforçadoagro 7
agricultura 210
agriculturafamiliar 187
agro 2772
agronegocio 390
agronomia 23
agropecuaria 36
desgoverno 524
novacap 1
vaderetrobozolula 119
vote2em1 2
lulavoltaprisao 1
icmszero 4
obrigadopresidentebolsonaro 13
bastadeviolênciacontraamulher 1
somostodasdenise 1
crime 2333
eleitoreira 6
inconstitucional 84
miliciano 780
ministros 123
pec 147
das 561
vota 632
expulso 349
populaçao 193
isso 981
nem 386
por 544
ruas 646
ta 1155
lularespeitaopovo 2
valeeleitor 1
asia 644
breakingnews 945
canada 536
cnn 8221
eu 974
india 2570
mena 18
newszero 18
nz 199
oz 18
pandemicofthevaccinated 18
skynews 57
southafrica 57
uae 158
worldnews 152
uk 2613
usa 5386
montanha 5
bolsolaodomec 8790
despejozero 37
cpiinstitutosdepesquisa 5
lulanuncamais 99241
realidade 123
aovivo 7014
governoagora 1
dinheirodopovo 25
vadio 7
lulapelabahia 14
pecdolula 1
cpidapec 2
2022limpezanocongresso 4
congresso 332
executivo 24
bolsonarodesesperado 118
bolsonaroincompetente 114
bolsonaroirresponsável 3
estelionatoeleitoral 51
votememmulheresdeesquerda 2
assediosexualecrime 7
caixaeconomicafederal 12
cef 23
noivinhadearistides 32
pedroguimaraes 15
pedroguimaraesnacadeia 32
pedroguimarães 37
eleições22 414
ptcatalao 1
auxíliobrasil 308
câmaraaprovou 67
empréstimo 7
rmc 7
bpc 80
solidariedade77 462
solidariedadenacâmara 405
créditoconsignado 14
barrosoabortista 4
dinheirodopovobrasilafora 6
inauguraçõesfraudulentas 6
lista 111
retafinal 29
motociatas 60
danielsilveirasenadorrj2022 7
gabrielmonteirodeputadofederal 3
robertojefersongovernadorrj2022 3
lulaépovo 16
ciro2022 4285
limpaosenadoem2022 2
amigosdotielo 53
injustiça 38
segurancapublica 474
deuspatriafamilia 2747
fechadocombolsonaro2022 5644
jn 22431
cdnhealth 5
cdnpoli 154
covid19on 5
onhealth 5
onpoli 51
bolsonaroate2026 18058
bolsonaroenosso 1
heineken 9
bolsonaro60 2
omitocampeão 2
lulaejeronimogovernadorba2022 1
ela 68
igvb 1
brasilacimadetudodeusacimadetodos 9324
foracorruptos 10081
chupamaria 1
emergênciaindígena 13
foraxavier 105
sosguaranikaiowá 5
lutapelavida 120
cpidapetrobrasurgente 29
lulasoltasequestradores 29
cpidosinstitutosdepesquisa 978
canaldoxa 11
educação 2519
equidade 28
doxa 11
faleitoleve 57
pprt 8
e 7015
e22em2022bolsonaropresidente 1
lulaeoptqueremnosroubardenovo 1
bolsonarocorrupto 26330
vaitrabalharvagabundo 17
votaem1tira2 1
cadeiaparabolsonaro 156
cpidomec 1097
forabolsonarogenocidacorrupto 291
cadeiaparabolsonaroesuaquadrilha 318
jairjaera 213
sociroameaçalula 17
proarmas 70
bolsonaropresidenteate2026 10620
filho 41
noticias 5279
renanbolsonaro 26
quemmandoumatarabezerra 2
quemmatouabezerra 2
queremosrespostas 12
cruzdasalmas 85
netinhodabahia 1386
soteropolitano 74
netinho 1825
netinhooficialbrasileiro 2538
vemproladodobem 4
lulaejeronimo 146
eunaodesistodemoro 1
naovotenulovotefelipedavila 728
haddadgovernadorsp 9610
queridolula 9
bbcbrasil 626
edicao16 906
cnn360 2204
metrópoles 833
jornaldacultura 2425
crimesnews 4
odio 634
bolsonaroinelegivel 114
bolsonaroinelegiveleemagosto 2
lulaladrao 85361
veja 1488
ciroemalagoinhas 2
cironabahia 128
somostodosnelsonpiquet 3
tmjnélsonpiquet 2
ptralhas 302
salafrarios 1
desembargador 267
triplice 3
trt 11
jornaldamanhã 562
gophatesusa 2
tuckercarlsonisatraitor 12
tuckyorose 2
ciraodamassa 152
cirogomes12 435
cirogomes2022 8074
nasruascomciro 225
nemganguenemquadrilha 15
ciro 10398
cirogomespresidente2022 571
cirounicavia 678
prefirociro12 6028
ciropresidente12 52457
ministeriodaeconomia 15
portalgp1 870
fachinmentiroso 10
moraesmentiroso 8
lulamentiroso 12452
stflixonaoreciclavel 31
stforganizacaocriminosa 43128
lulaemsalvador 2100
viva2dejulho 1
clubesdetiros 3
tiroesportivo 3
boanoite 743
boanoitebrasil 7
tiktok 3226
brprecisadelula 1
esquerdistasseguemesquerdistas 11696
lulasabequejaperdeu 14
vamosvencer 164
freixogovernador 761
maismulheresnapolitca 3
mulheresdopt 20
estoucommarcolino 6
bozocorrupto 45
oamorvencerá 19
impeachmentalexandredemoraes 6082
impeachmentbarroso 1222
cpidasongs 92
esmolaseleitoreiras 2
partidocrime 1
partiroladrao 1
cuidado 3975
juizladrao 81
bahiacombolsonaro 74
datapovo 3829
mito 20362
freixo 1019
lulafreixo 251
bolsobraga 10
bolsonarosempreteverazao 73
bunkermediaenvivo 3
entrevista 839
esquerdahipócrita 37
ospingosnosis 8999
petistavotacontraopovo 3
foralulavagabundo 16
fotapt 8789
clotshot 10
fazol 20520
fazoldelula 24
jeronimogovernador13 107
ottosenador 60
humor 1820
memespoliticos 27
sextoucomlula 953
zemariarangel 55
lulala 6197
memes 517
lulômetro 2
vozesprogressistas 1045
bomtempo 6
cidadedacorrupcao 6
luto 125
petropolis 1333
roubopolis 6
corrupto 4611
foraarthurlira 30046
forapacheco 602
congressoemfoco 9
pcdob 1787
prêmio 2
brazilianpresident 34
tuckercarlson 3214
brasilcomlula 919
miliconãodápalpite 38
lula1ºturno 1169
lulaestadista 1954
lulainocente 10796
lulajá 2319
lulapresidente 147929
lulanosenchedeesperanca 292
ptsempre 21
pcb 879
salvador 7667
sumaricardonunes 1
sumarodrigogarcia 162
assim 147
pelo 113
porque 486
povo 5402
roubou 195
voce 1923
nao 3408
recebido 21
so 804
espéciedemoníaca 1
boitempo 1
romaria2022 1
trindade 114
covidvaccine 17
nomandates 3
pfizerlies 3
truth 114
exitos 2
programajuntospeloprasil 29
bosta 55
ladrão 3181
pecdovagabundo 13
crescimento 44
governobolsonaro 1301
melhoradministração 394
semcorrupção 395
art 346
margotfontaineart 3
artistontwitter 27
digitalart 148
collorgovernador2022 1
capixabacombolsonaro 41
chora 163
lulaseulugarenacadeia 60
sempredefendeu 3
lulaejeronimo13 5
lulano2dejulho 2
amamatanaoacabanunca 1
bolsopetistas 9
13nacabeçadeles 5
amazon 1416
resistance 50
bozocapetão 411
quadrilhamiliciana 4
dinheiropúblico 103
alexandrefossatti 462
dilmarousseff 2094
systemofadilma 7
lulanotiktok 575
partidodostrabalhadores 1584
lulatadisparando 2
ladrao 4532
lulapiorpresidente 7
pecsuprema 773
milíciacarioca 2
organizaçõescriminosasmilitares 2
traficantes 65
bolsonaroagoraé 12
agenciaparlasur 2
aprovapdl22 5
fimdoconfisco 9
rodrigogarciamente 132
rodrigogarciaconfiscador 273
abadia 16
agenda 142
aliança 453
alto 16
alva 16
andorinha 23
angelim 16
angical 16
aquidabã 16
aracaju 419
araçoiaba 16
araújos 16
areia 31
assunção 115
água 153
slavaukraini 146
brprecisadolula 8
edegarprettogovrs 2
clancamacho 2
foxnewsafterdark 2
redstateratpac 2
análise 164
forarodrigopacheco 4598
pachecoconivente 4705
arthurliracúmplice 29893
vivavoz 110
cironogueiracúmplice 29826
forabolsonaroracista 7544
foracironogueira 29828
foramoro 14330
lula13éamelhoropção 33292
moronacadeia 21560
ama 29
defende 86
nossa 177
soberania 116
quem 883
o 5044
alexandremoraes 74
barroso 308
dirceu 92
fachin 923
levandowski 8
pcc 2097
a 3810
domiciliar 10
prendeu 10
soltou 10
criminoso 541
em 1810
mas 913
prisao 127
bolsonaropeçaprasairurgentedoseudesgovernogenocidadestruidorbrasileiroemundial 12
causaoperaria 12
cotv 12
estoucomopco 46
fimdapolíciamilitar 12
fimdostf 73
forabolsonarovergonhadobrasil 139
forafeder 12
foraratinho 30
pco 114
seu 554
ditaduramilitar 98
presidentadilma 14
acaboubolsonaro 152
dossiecelsodaniel 1
brasilpordespejozero 18
jornaldagazeta 614
cpidobolsolão 1192
forabozo 5963
demitiremoutubro 1
ptepccjuntos 41622
bolsonarothebestpresidentbrazilhaseverhad 2
armas 283
mundored92 47
covid19brasil 32
covid_19 193
assassinos 457
coronelustra 16
torturadores 6
estupradores 17
sousóeu 1
stfdesgraçadobrasil 42
brazilwithbolsonaro 26
godhomelandfamily 3
tamojuntoirmão 1
milicianosdefarda 1
narcotraficantes 28
smart 1
vaxx 1
forever 2
kalilgovernadormg 511
tuckercarlsontonight 1
fatoinconteste 1
ojairoujaera 1
bibliotecas 20
vemprasruas 11
bolsonaroéladrao 111
flaviobolsonaroladraoteulugarenaprisao 6
lulaalkimimnoprimeiroturno13 57
luladraoseulugarénaprisao 104
ptéumcâncer 35
bolsonaro22reeleitoprimeiroturno 2
retrocederjamaisptnuncamais 1
marjoriefascistgreene 8
marjorieignorantgreene 4
marjorienutjobgreene 4
marjorieoldbaggreene 4
marjorietreasongreene 4
luladrão 12916
lulapodre 11
naoapec16 5
lulaláejerônimocá 41
lulaéjerônimo 635
delacaomarcosvalerio 1
ptorcrim 163
forçatarefadasaguas 1
águadoce 233
todomundo 21
inteiro 24
lulaeopteuvocêbrasilinteirinho 257
micheque 8135
narnia 80
rachadinhas 744
agenda2030 1206
pedofilia 1139
adele 98
gooutbozo 9
gooutbolsonaro 30
vazabozo 322
lulaeoptpragenteserfeliz 2
pesquisa 2892
pcceptjuntos 2673
forabolsonarofrouxo 291
bolsonaroinegelgivel 2
bolsonaroinelegivelemagosto 27
turmaboa 4218
vitória 675
cpidoptepcc 10504
desconstruindolula 356
lulano 18
mico 11
voteem1eselivrede2 7
cpidopcc 657
demônio 39
povobrasileiro 1687
unirio 15
maisigualade 1
simonesim 1144
al 15027
globonews 21407
nordestefechadocombolsonaro2022 8
ma 14980
ce 405
pb 15379
rn 940
bolsonarotemrazaodenovo 51
funkdapolarizacao 5
aniz 1
direitinho 1
pecsuprena 1
stfvergonhanacional 36652
ptepcc 681
ptralhasdocrime 3
vampirão 28
bolsonaroreelected2022 11
thetruthaboutbrazil 1
acessolivre 44
pragadover 1
lulalánapapuda 1
lulalánapf 1
despreparado 9
presidente 12327
getoutbolsonaro 93
cpidoptepccja 1
lulacanalha 498
ptfazaliancaatecomsatanas 140
bolsonaromente 5826
bolsonaropreso 615
bolsonaroescolhidodedeus 2
impeachbidennow 9
recallbiden 1
chegadesses2 2068
somosumsocommarcal 1
educacaofisicaporamor 3
profdhu 1
deuspatriafamiliacarla 5
progressistas 190
calaabocagringaburra 1
andréporciunculaprabahiamudar 5
draraissasoareaprabahiamudar 5
joãoromaprabahiamudar 6
samueljesusprecandidatodeputadoestadualplbahia 5
samueljesusumentusiastadejairbolsonaro 5
1jul 1
comovenezuelanohay 1
lulanaprisao 319
hans 1
jonalistaprostituta 1
golpenasurnas 48
cpidotse 245
fachindotrafico 5
fachinpreso 7
tsemente 46
lllulanaoeinocentebabaca 8
lulasabiadetudo 346
miliciadigitaldacut 112
22confirma 208
lulareeleitoem2022 2
cpicabulosoptepcc 1
follow 439
jovensconservadores 7
like 282
direitaforte 9123
fy 638
fyp 792
lulaeoptinteirinho 97
absurdo 251
moro 930
moropresidentee200mais 6
questaodetempo 2
repost 1696
rudineifloriano 2
santacatarina 16944
protejamoskaiowa 2
sosguaranikaiowa 10
soskaiowa 2
lulaeoptcongressodopovo 342
06deagostotemdebate 989
nomeuvotoninguemmexe 1878
tanahoradevoceolharprociro 548
cnnnaseleições 10924
lulatadisparado 246
esquerdasegueesquerda 42649
bolsonarismo 1373
cúmplices 108
prisão 258
bbmp 127
borabahea 12
ninguém 31
nãosaiodecasapravotaremporcaria 2
forasimone 58
peceleitoreira 5
políticosdaesquerda 1
cironosegundoturno 2933
hexascampeõesdefutebol 4
pátria 4732
seleçãobrasileira 35
dilmaresiste 138
resis 1
