Label Appearances
ptdeputadoscancer 725
ptsenadorescancer 725
foraincompetênciaeodio 1
gilmarmendesbandido 1
cicilianonao 1
tijucacomlula 3
carnicanacadeiaja 1
producciónatodaprueba 5
capitaowagnergovernador2022 3
bolsonaroébrasil 4
bolsonaroémeucandidato 4
hexa 257
brunodantaskikodotcu 18
voltaamoedo 26
euapoiodaciolosenador 4
lugardeladraoenopresidio 5
lulamaiorcorruptodomundo 14
dąbrowski 2
kurierwsamopołudnie 2
radiownet 2
dataenganabobo 8
pablomarcal22 1
anos 30
bolsoimcompetente 5
bolsoladrao 72
caro 9
melhorou 5
lulamentepracaralho 1
elenalandau 9
triomaravilha 7
lulan 12
lulaeoptpelavidapelofuturo 19
édepequenoqueseaprende 2
alencarsantana 73
vcnojm 164
lulanegaciosnista 2
lulanegouhospitais 2
coletivoestrela 33
iba 1
bolsonaronoprimeiroturnonaparaiba 1
ocapitaovaivenceroladão 1
eusouesquerda 1
foraminto 4
celiogari 3
ogaritaon 3
somostodosgabrielmonteiro 14
foramito 3
foratodosospoliticos 3
news_allexandredm 2
todoscontraoinominado 2
institutospesquisas 4
meuvotoédolula 56
resistencia1580dias 13
dia7desetembrovaigrande 1
cotidianas 3
polosocialistarevoluvionario 3
lulapresidebte 1
elasnao 1
foreboze 3
foreclaboze 2
foremilitare 2
bidenrecession 13
climachange 7
davosagenda 69
xijinping 215
bolsonaronuncatemrazao 1
jornaldavtv 5
fabrica 39
bakugou 32
batgirl 28
evertonribeiro 32
faltam60 28
gabigol 50
mha362 32
ocapitaovaivenceroladrao 6101
warner 28
programapaniconatv 1
rodeio 4
lgbtqseguelgbtq 18
coletivopsol 27
soumaiscoletivo 58
boca 59
itaquerão 5
haddad13tirar60milpaulistasruas 2
lula13haddad13reconstruirsaopaulo 2
seuvotomudavidas 4
votosalvavidas 4
pense 35
twiter 112
brunocunhalima 1
desgovernos 9
dilmaroussef 28
públicos 13
rato 1242
lulaempiaui 1
acoes 72
agf 10
boladeneve 10
bolsadevalores 97
fii 35
fiis 25
investimento 61
asaidaeaesquerda 4
educaçãopública 46
precatóriosdofundeb 4
prefeituradefortaleza 4
vaientenderessepovo 1
cadeiaparamilicianos 2
tôcomsofiaeantônio 87
forabandidagempt 3
bozo2022 49
vaisernorimeiroturno 1
lulacalaboca 1
lulapreso2022 2
semhipocrisia 2
rainhafakenews 1
lulaladraosim 9673
brunomirandasenador 2
caetanópolis 15
carapebus 15
carmo 15
cascalho 15
catiguá 15
caçapava 15
cedral 15
cedro 15
centralina 15
confresa 129
córrego 15
ceilândia 21
bolsonara 60
marcelochaves 1
francasenador 2
stfbergonhanacional 1
acapulco 5
chilpancingo 5
guerrero 7
iguala 5
opiniónelsur 5
zihuatanejo 5
ptligadopcc 2
amorordemprogressotrabalhismo 100
mandatocoletivo 69
fraudenoprouni 1
cidade 67
galpao 11
parou 11
vazio 11
3ago 15
ciudadvlc 8
ninguémacimadalei 2
antiesquerda 31
antipt 123
beijorosa 25
beijoverdeeamarelo 25
deusemprimeirolugar 25
comprovante 8
decidiu 8
fmsteresina 3
vacinaçãoteresina 3
blogueiro 36
eunaovotoemladrao 116
lulapresoja 19
ptladraonuncamais 5
sancionar 1
privatizacorreios 5
mudabrasilmudadeverdade 38
fechadocimffaa 1
oposição 57
martes 43
radiocubana 5
vivaeltricolornacional 16
calderonaprisión 5
stfcortedesacreditadadobrasil 3
helder15noprimeiroturno 1
lula13no1ºturno 838
brasilestafechadocombolsonaro 3
reelegerbolsonaro2022 1
arranca 79
lota 15
mascara 30
pagando 93
luladraoseulugarenaprisso 3
devolvaonossodinheiro 2
capitaovaivenceroladrao 100
bolonaro 4
devolvanossopatrimonio 2
abrams 7
bolton 7
chino 7
eln 9
irani 8
ruso 7
draculadaodebrecht 9
direitaterrorista 3
presidentebolsonaroacioneasforcasarmadas 5
tribunalconstitucionalmilitarja 23
sertao 325
tvcontec 10
tempodeesperançar 1
sextaeconomiamundial 5
calabocabolsonaro 1
preconceitonao 4
comunistalixo 3
psollixo 13
defendaopropuni 1
jádeucerto 4
lulánopiauí 2
bancadadopará 1
barrosocriminoso 8
demagogicamente 3
haddadnasabatinafiesp 13
lulaéumcanalha 1
pòlíciafederalpiauí 4
ódioverdamarelo 3
candidaturas 37
acioneasforcasarmadas 2
prafrentealagoas 1
masssssssss 1
capitaoquevaivenceroladrao 4
btsv 13
leydeenfermeria 2
loteriasenbrasil 4
cadeiaprolula 1
forarenner 1
psdbfora 1
lulaladraodopovobrasileiro 1
lulaladraoeternamente 2
amém 268
deuscuidademim 12
noticiasdopt 1
loolaéladrão 2
toqueoberrantepresidente 1
ocapitaovaivenceroladraonão 1
escuelalibertad 5
lafarsa 5
votoutilparaderrotaroinutil 9
esquerdaémilhonariomamifero 7
g1lixo 22
tagsampliadas2022 45
enfermagemnaluta 8
dentrodas4linhas 17
maragabrillivice 41
ocapitaodopovovaivenceroladrao 584
luizmarinhodeputadofederal 1
marcialiadeputadaestadual 1
terçou 16
inssemprestimomaesdobpc 2
lulagay 14
lulamentiu 234
lulapresoagora 2
aiebarrabas 1
naoroubaras 1
debateounulo 4
mentiranão 4
semdebatemeuvotonaoarrebate 5
diganãoaoexclusão 2
diganãoaosexismo 2
digasimàlinguagemneutra 2
asurnasnaosaoauditaveis 4
asurnasnaosaoconfiaveis 3
ricardonosenado 11
jairsim 1
extraordinaryattorneywooep11 4
folhadesaopaulixo 4
marinadeputada 18
sorocabafelizdenovo 4
sãopaulofelizdenovo 4
children 32
cows 4
cycles 4
carolbrazgovernadora12 1
justicaporbarbara 1
brandaoelula 1
camaraoebrandao 1
cep 3
povomanifesta 3
seuscompalheirosdostfanulou 3
lulaá 1
selecao1994 1
brasilsoberano 59
jair_bolsolao_protese_peniana 121
valorizeaenfermagemdobrasil 2
simonepelaeducação 8
simonepelomeioambiente 2
foradescontrolada 2
ésobreisso 45
obrasilacordou 177
soumaisdatapovo 1
disabilityrights 6
molonnão 2
followme 872
marciocoimbradeputadoestadualmg 52
reynosa 1
reynosafollow 1
chegaderasgaraconstituicao 1
astropontessenadorporsp2022 2
opartidodestruiuobrasil 1
partidonuncamais 1
narcolipecartelon 2
tarcísiovailevantarsãopaulo 1
votaem1selivrados2 1
armazémdocampo 7
lulárapio 6
ditadoresdetoga 39
rsvieiragovernador 5
code 15
github 42
gnu 15
linux 101
mit 105
opensource 30
programming 97
showmethecode 15
unix 15
chávez 10
internacionalismo 6
internacionalizemosaluta 6
podcastsemterra 6
boatekiss 7
bomdiaveronica 16
f90br 608
derechos 19
infografía 27
sexodiversa 6
votapl2033 79
forajarenancalheiroscorrupto 1
renancalheirosvergonhanacional 1
bocadeurna 27
ministeriocidadania 3
desistesimone 2
13épaz 3
eleiçõesbdf 37
lulaladrãosim 27
naovamosdesistirdobrasil 222
forabolsonaropl 16
passeadiante 26
senadorhumbertocostaumbosta 2
eleicoes2018 24
patrocinio 9
triangulomineiro 25
ituiutaba 30
demonio_jair_distribui_ouro_ladroes 13
negou 14
jair_boslolao_protese_peniana 13
éoladrãodopovo 1
facistanaopassaram 5
jair_gosta_pobre_comendo_osso 97
simonenosegundoturno 38
brexit 55
copycat 9
dietermeier 9
jam 9
jesusheknowsme 9
suit 11
supper 9
boravotar 160
tachegandoodia 3
barrosovergonhanacional 3
stfvergoinhadopaís 3
vitóriapelasurnas 10
reidogado 37
cironovenuspodcast 1
bonappetit 2
chacrinha 3
praçaseca 5
obrasilsabequemeobandido 13
elegivel 3
lulaterrordebolsonaro 2
desonesto 159
crescido 4
mocambique 18
parlamento 26
impeachmentdeministrosjá 1
bemvindosequeiraministrodacultura 1
veiodahavan 156
11a 34
coach 13
determinacao 45
forca 138
enterate 46
lulasecounordeste 1
sanciona2564 2
defendaoprouni 7
inep 55
eunaoacreditonaurna 3
blackout 8
club 7
moritz 7
moritzbleibtreu 7
suspended 18
queremosquelulaebolsonarosephodam 1
elesnuncamaisé 4
checamaismicheque 1
estreia 16
debatenaband 39664
haddaddebatenaband 3
reportajes 1
stfditador 175
elasnão 2
lulaladrãonão 3
bolsonaroreeleitoem2022primeiroturno 1
despertar 15
gix9ine 2
pv 142
ca 1
rendabasicajá 9
agoraélula 792
fogoneles 12
fogonosfascistas 62
lulaénoiz 12
vazafascista 12
vermedarepublica 12
mulherecomlula 5
mulherespt 110
enftwiter 1
concursopubliconostribunais 1
concursopublicostf 1
elesnãoelassim 4
equipetf 341
pstf 18
lulaealkemim13 2
spaceespecial 10
coroneldiego 3
samanthacavalca 11
opiauiabracalula 1
lulaemteresina 61
maravice 356
maravilhosa 28
atopolitico 4
globodesinforma 3
poíticos 1
lulathief 686
lule13 2
space 27
asuacandidata 3
candidatadeputadaestadual 3
politicaparamulheres 3
stfsuprematramoiafederal 1
emiratosarabes 2
qatar 1049
kulalkimin 1
juiciotv 2
luladilma 2
mídiagolpista 62
igrejas 269
desestabilisados 5
bozolino 18
mauperdedor 45
muu 23
bolhaspipernicas 2
falaciasnoblat 2
meirelles 98
gozadinho 4
ruminando 4
falta60dias 2
bolsonarofugitivo 2
pronomeneutrosim 1
ptnuncamaisdeusnoslivre 4
eomensalao 1
eopetrolao 1
somostodosguedes 1
cambioautomatico 5
carroautomatico 5
faltam60dias 92
cabralprecandidatodeputadofederal 1
larissaestadual 4
elmano 182
choroélivre 82
devolveagranadobndes 2
saber 46
disgrazo 1
lasbrujas 1
cordel 67
forródamaré 5
senadorn 1
avisa 19
pro 101
recebe 42
lulancacadeia 1
gerandocumplices 3
stfcumplice 5
pauloguedespresidente2026 2
vaibrasil 105
emdefesadaenfermagem 7
somostodosciro 2
estagiarionapresidencia 1
papagaiadepirata 1
aguaparaonordeste 23
aguaparatodos 21
fimdaseca 21
forró 70
irrigação 21
norte 17054
riosaofrancisco 97
riosãofrancisco 55
secanonordeste 21
águaparaonordeste 21
tocomfreixo 3
tocommolon 7
elvisgovernador 25
rodrigogarciarevogue 1
rafaelgovernadorpiaui 2
tocombolsonaro 32
bandidodeestimação 10
aracuai 1
jequitinhonha 1
espuriatosangriento 2
narcoborolas 2
cutting 8
deflation 9
tax 25
oficialzonamx 3
repórter98 1
evolucionando 4
franciamarquezmina 4
pueblosdeamericalatina 4
pueblosunidos 4
transciciones 4
coletivaelas 20
lenguajeinclusivo 8
quetehaceselpresidente 2
fuerzadevictorias 3
além 1
ocultismo 1
molon13 14
mindsetmatters 1
enfermagemestacontandoashoras 3
jarbolsonaroprovapf 1
rafaelgovernador 4
dequeladoestaras 2
provapl 2
bolsonaroeopovocontraoresto 10
defesanacional 10
periodoeleitoral 6
coronelmenezesamazonas 10
flaviaarrudadf 10
gilsonmachadope 10
jorgeseifjrsc 10
magnomaltaes 10
marceloalvaroantoniomg 10
marcospontessenadosp 10
marcospontessp 10
paulomartinsparana 10
rogeriomarinhoriograndedonorte 10
terezacristinamgs 10
urnaseletrônicassãoseguras 224
vampirodoptnuncamais 1
lulaterrordobolsomaro 1
noesjusticiaeslawfare 32
noesjusticiaeslawfeare 2
legislação 10
ocapitãodopovoirávencerdenovo 3
ocapitãodopovovaivenceroladrão 3
ocapitãovaivenceroladrão 4352
coletivosalapt 235
lulaéumafraude 37
lulaerequião 30
caviar 30
gasparzinho 1
nordestecomlula 1481
compare 3
maispoderdecompra 3
trancadocombolsonaro 1
vaidalula 2
nemlulanembolsonaronemseusapoiadoresnuncamais 1
cnnnaoassisto 1
globonaoassisto 1
bolsonarobandido 484
mitobandido 5
simonetambem 5
sindicatodosbancarioscg 1
e_titulo 3
bb22 20
pteumaquadrilha 5
democraciaaindatemos 2
pablomarcal23 3
tricolornaconmeboltv 26
arapongaem 5
paulosergiooliveira 5
marciocoimbradeputadofederalmg 81
movimento65 9
pantanalms 9
profedson65 9
gustavogayer 25
povobrasileironaoesquece 1
bomsonaroreeleitopresidente2022 3
obrasilébolsonaro2022 1
aventureiro 3
zurdossoretes 3
paulomartinssenador 108
lulaterrordobolsonaro 98
noite 11
juntospelademocracia 129
poderparamulherpreta 7
renovaçãodocongresso 7
ruleoflaw 21
democratic 89
soujovemsoubolsonaro2022 12
marceloqueiroga 7
cironãoéarregão 2
semdebatenoprimeiroturnonãotemvotonosegundo 5
julietteresponde 141
alckminladrãodamerenda 3
geraldoalckmincanalha 3
nemlulanemalckmin 4
chegadebandido 16
chegadereelegercorrupto 10
fuijuntovercomloolaacenadocrime 1
semcensura 49
uniore 39
chegadearregãoquefogededebate 8
chegademensalãoebolsolão 8
estao 120
miltondantunes 1
miltondantunes2022 1
justiçafraca 2
politicaassistencialista 1
lapaztotal 2
camxpal 8
globobosta 83
ptmaltido 13
recordtvlixo 7
cnnbrasillixo 98
marcelocesarrj 1
oagroéariquezadobrasil 1
somosdoagro 1
sep 2
partidodastrevasnuncamais 7
cadeiabolsonaroefilhoseministros 1
chifrudo 7
cornosdobolsonaro 120
janjalula 42
souparaibanasoubolsonaro 1
naintegrapl2564 1
60dias 12
ligadospatriotas 11
marcalpresidente 407
raphaelbrunini 12
catrillanca 2
giorgiojackson 2
lulafalapelopovo 1
avantipalestra 92
libertadoresnaespn 86
rensgahits 22
lewishamilton𓃵 707
lulatime 692
seguirprogressistas 809
superlula13 693
gestãodepessoas 8
normalizandoabsurdos 8
politicosdespreparados 8
processoseletivo 8
rh 8
lulasimlula13 2
rafaelfontelesgovernador 3
canalpúrpura 4
gobierno 111
lavagemdedinheiro 289
tirulipa 5
romulobraz07 2
opiniaodapreta 81
postando 10
priscillacanedo 10
précandidatadeputadaestadual 5
valdemar 2
roubados 6
danieljosedepfed 9
profhocsenador 11
klimawandel 22
lateinamerika 10
luft 2
turquía 26
nomitobotofe 1
fotonovanoperfil 19
russiaukraine 674
serbiakosovo 6
taiwán 15
cirotaavisandonovamente 1
equiperafael 5
forabonavides 3
naoriacuelo 2
pantanês 1
semvetos 7
omaiorefetivodahistória 350
fachinnaoengananinguem 1
pedeprasairalexandre 1
bolsonaropreso2023 30
consciencia 115
ocapitãovaivenceroladrao 621
esquerdaverme 1
psolixotoral 1
arfocsp 5
fotojornalismo 33
semveto 2
roub 3
lulaamorpelobrasil 1
bolsonarioprimeiroturno 3
psolrede 1
molonsenado 7
medicinaresponsavel 44
lulaadraonuncamais 1
lulaadraopicareta 2
lulaadraovemprarua 2
tebetegabrilli 1
piadas 23
revistatime 6
sancionapl2564semveto 1
fbozo 2
francasp 3
valdenio2022 6
fazolpeladignidade 3
fintwit 58
elvis12governador 2
bolsonarosancionepl2564_20 3
bolsonarosemvetopl2564_20 3
ocapitãodopovovaiganhar 1
agricurafamiliaretop 1
agrocomvenenomata 1
horahdoagrojp 1
faltam59dias 33
lulandonajanela 500
suplentesenador 4
acabatse 1
carlinhosbrown 1
foiiluminado 1
destravaressanação 1
crédito 25
carluche 2
lulaislove 46
brasilvaivencer 3
cirovaivencer 3
esperançabrasil 10
teta 4
netinhodab 2
malt 5
offizielles 5
ovomaltine 5
queroquelulaebolsonarosephodam 12
picoledexuxuvergonha 1
forafalsomoralista 1
foramilianocorrupto 1
competente 7
engzinidepestadual 7
julianabrizola 26
possui 7
vieiragovernador 346
tmjaté2026 1
cirodasmassas 1
cangacironuncaserá 1
justicia 163
omelhorpresidentedobrasil 4
chegadepolitiqueiro 2
brasilnovo 42
ladrãoseulugaréaprisão 6
ptesquerdacomunanever 6
stféoculpado 6
filmaeu 2
igoraraujodeputadoestadualsc 133
simpraelas 5
rosangelamorodeputadafederalsp 133
aburguesiafede 4
wellingtondiassenador 2
forabarrozo 3
impeachmentdopachecaofrouxo 3
vanguardianoticias 1
candidatoapresidente 1
desvioderecursos 4
foroprivilegiado 9
lulaebolsonaronacadeia 38
urnasinviolaveis 2
maduroindestructible 3
bolsonaoorgulhodobrasil 2
saipralásatanás 2
humbertocostanuncamais 2
aumentodagasolina 3
pnbonline 19
tvpnb 1
povoemcasaeditaduranaruaeliberdade 2
choraalckmin 3
intercept 66
enfermagemcontigo 3
aquiotriplex 1
dunshe 4
forabelloti 4
forabraz 4
foralandim 10
tostes 4
chupaessamanga 19
rindoate2039 3
biroliroreeleito2022 1
equipenine 1
jalilbolsonaro 3
faltara 1
extincaodopt 16
v 34
eleitoressempartido 2
sampa 88
izmierda 13
juros 81
reembolso 1
felizquintafeira 1
fernandokabral 2
derrite 1
lixobel 5
freixogov 1
aprovapl6524 2
impugnacaoja 3
tseimpugnacaoja 2
ldr 17
portbeirut 1
tragedy 1
tiririca 400
oassunto 96
brasilavante 4
brasilenosso 10
fatooufake 884
defendthedefenders 21
forabolsonaroeseudesgovernocorruptoegenocida 15
batepronto 3
cabeçafria 1
aurevoirciro 7
pauloguedesestáon 1
pauloguedesmito 166
canalhascanalhascanalhas 1
xoencosto 2
lulapresoamanha 78
enganaeu 1
fakenewsbolsonaropix 3
bolsokids 1
artículo66 31
derechoainfomar 2
galería 4
esquerdalhanuncamais 4
loulaladraoseulugarenaprisao 6
slafsales 2
whitehats 2
brasildetodos 57
jaboatão 760
zambellisenadora 1
ninguemapaganossaestrela 8
alckminpalhaço 1
foraexpresidiário 8
reidascamisetas 2
crimeeleitoral 15889
lulapedevoto 5
psdbsempre45 1
apiadaviroupesadelo 1
gestãofachin 3
andresenadorrj 1
obrasilpiorou 8
boys 37
pokemonpresents 4
paulofreire 619
reformatributária 22
sonegadornacadeia 2
juntosparaobemdomaranhão 4
tsequevergonha 2
psolnocongresso 2
luladraocondenado 4
bolsonarotedesafioarenunciaressaépesadinhaem 1
empréstimoconsignado 7
luísrobertobarroso 4
locomotiva 13
alanapassos 89
deputadaestadual 419
voudevera 2
apoieinopassado 11
apoionopresente 11
apostandoachismo 11
feixo 11
merecem 11
nãoapioopartidopt 11
nãosoupt 11
ptestáabusando 11
ptnãoatrapalheacandidaturadolula 11
votonaurna 11
sextoucomlua 1
professortiagobotelhoms 22
tiagobotelho 13
carlosbrandao 7
felipecamarao 1
amamatavaiacabar 7
expertxp2022 2
contasnoazul 5
saldopositivo 5
forasimonetebete 1294
gangafederal 1
reageriodejaneiro 4
sóvotenaesquerdario 4
quemédeesquerdaseguequeméesquerda 1
oposicionmoralmentederrotada 4
institutodefesacoletiva 2
soscriançadesaparecida 10
nossaliberdade 2
respeitoanossaconstituiçao 2
justiçaparadomebruno 132
cats 80
ships 1
asplanilhasdaodebrecht 1
tarcisionoprimeiroturno 6
comunist 35
cnbc 8
opensocietyfoundation 91
juntosvenceremos 10
leidomal13954 3
militaresunidos 4
pensionistasunidas 4
bancodehoras 9
calamidadepública 9
férias 25
teletrabalho 20
2deoutubrohoradejairembora 7
globalization 1
prato 2
boatardejh 2
choramais 92
votosecreto 374
c1rogome2 3
longshot 3
ps5share 10
malon 1
senadorrj 5
governospt 3
mãedina 5
tocodeamarrarjegue 5
enfermagemvotaenfermagem 6
enfermeirouniao 30
d 42
meio 101
ficadida 1
lulapedepinico 2
lularestodefeira 2
lulavozdeirritante 2
rafaelgovernadorpiauí 1
bancopan 4
facta 4
vamosjuntoscomlula 452
bolsonaromapadafome 17
familiar 17
capitaovenceoladrao 22
lulapaidacorrupcao 5
lulaccpt 1
claudiocastro 86
tudoépolítica 30
estrangeiros 10
getúliovargas 10
nacionalista 28
intevencaomilitarja 4
ciro_éticoexperiente 1
profeta 25
nurses 3
nursesactive 3
tyranny 29
climatebreakdown 23
soumulherpatriota 1
rivelino 5
romário 5
ronaldinhogaucho 13
ronaldofenomeno 5
zico 5
élulano1turno 6
selic 16
econtwitter 99
voltaparaprisãolulaladrão 1
lulaotario 2
cecilianosenador 60
bostadoria 5
glóriaadeusaleluia 5
peppa 8
voltapracadeialulaladrão 1
eunaoacreditonotse 3
raiopqueoparta 1
somostodoslulapt 2
gloolixo 1
psol50nuncamais 2
janoneselula 8
rivotril 10
enfermeiro 5
santoscruzpresidente2022 1
ripesquerda 24
colarinhosbrancos 2
lulalovers 11
podcasts 67
down 3
slashing 3
escolta 7
oslaimbrito 174
ondeoptgoveenadácerto 3
wdiassenador 3
corensp 21
riograndedonorte 876
globalist 52
makebrazilgreatasever 9
minpauloguedes 1
laladrao 7
lula13eoptinteirinho 1
lulapragenteserfelizdenovo 51
cidades 219
dat 11
moginews 10
portalnews 10
regiao 24
5gbrasil 2
bolsonaropaido5g 2
unidade 5
stfmiltanciapartidariadopt 2
fucklula 4
bolsonaroterrorist 1
january6thcommitteehearing 1
bancadafederal 4
cérebro 6
neurônios 6
cidadão 64
dentes 4
naoaodecreto739 1
denúncia 117
nomedafazenda 5
proprietário 5
punição 3
enfermagemébasedasaúde 1
impugnaçãoja 1
faxinageralnaalesp 4
diadospais 145
discursodeódionão 5
arrepiar 2
édechorar 2
reajuste 169
umgambacheiraooutro 1
derechoainformar 29
ouciroounada 4
resistencia1581dias 1
lulatemapoioavantejanones 1
agroforte 3
queer 16
prefirtoacmneto 1
luillust 1
ホロライブサマー 1
capitaodopovovaivenceroladrao 99
refeglobbels 1
impugnaçãojá 3
capitaodopovonojn 133
virgula 4
cadeiateesperalula 1
dacioloeivanirnosenado 1
pedofilos 63
saidinhas 10
dacivanir 1
geraldovagabundoladrao 2
vaitomarnoc 3
granfinalthevoice 4
fóralula 1
luladraovoltapraprisao 1
lulaisback 80
lulandopelomundo 7
eleicoesam 1
foraandrejanones 47
vivaasaude 1
coração 66
ovacionar 1
preparados 2
janones26 1
bolsonaronajaula 47
bolsonarofalsoprofeta 11
demagogo 14
agroapoiabolsonaro 9
pat 2
saudelgbt 3
tribunal 81
gleisipapelhigienico 1
masocapitaovaivenceroladrao 1
foralulaladrão 1829
vamosjuntospeloriodejaneiro 9
impeachmentdostf 6
minaseolugar 21
montesclarosmg 27
nortedeminasgerais 21
wmcmidia 28
fisting 2
ocapitãovaivencerdenovo 4
lulanocú 1
eleitoresdolula 123
4ago 11
playbrasil 1
marasim 4
ladraonaomais 2
lugardebandidoenacadeia 12
nuncavoteinopt 6
bosonaronosproteja 3
antirracista 36
auxilio600 354
desonestidadeintelectual 13
pisosalaraldomerendeiroescolar 2
art36 1
festivalexpertxp 3
compartilheacrítica 31
07desetembrotodosnasruas 20
lulacachacero 7
carlosvianagovernador 41
tchauzema 1
tsepuxadinhodopt 472
lulaalckminnoprimriroturno 1
2️⃣2️⃣ 305
genocidabolsonaro 1
digasimavida 4
nãoaoaborto 441
pelaavida2022 2
lulanuncais 6
simoslula13 1
lulaejanonesjuntospelobrasil 5
acaba 26
mapa 42
doriaegarcia 4
rodrigogarciaedoria 4
macalpresidente 1
maus 4
sujos 8
fabinhogaspar 4
funcionarioefiscaldopovo 4
w 3
lulafreixoceciliano 394
mintingsoon 187
nftcollections 51
rodrigogarcianuca 1
foramolontraira 1
somostodoslula13 4
comissaodoesporte 1
agorasomosseuexércitocapitãodopovo 1
brasilmeuorgulhobolsonaro 1
janonesdeputadofederal2022 2
ibope 155
jornais 9
araucanía 1
forapaulobtg 3
forabolsonazis 16
forapauloguedes 483
contraobolsonazismo 4
lulacontraofascismo 4
lulajanones 11
foraliracúmplice 2
impeachmentarasjá 2
reconcavo 2
fueracfk 2
estoucomolula 9
fracasos 8
repugnante 37
foraarasconivente 1
globomerda 2
globonuncamais 138
falsidade 66
honestas 11
mílicos 1
pachecoarregão 1
stfditadurabranca 20
barrosotemamentecriminosa 5
virouorganizacaocriminosa 1
comlula13 10
lula_gasolina 2
euestoucomlula 237
tamojuntos22 1
ptdepintaaponta 1
ptnuancamais 1
conservadornapolitica 2
tocomciro12 5
cartoon 268
desenho 279
favorite 4
fromthesouth 24
oseulugarénaprisao 2
fascistasnaprisão 3
fazendo 93
votatemos 16
pagar 72
ecocida 28
sairam 1
fora9dedoscorrupto 1
mito2022facil 1
jnlixo 25
ptcoletivo 1
racismoécrime 33
bairrosantaquiteria 4
sourepublicanos10 4
podemos 183
podemoscomsimone 9
votolulapelosus 2
stfditadoresdetoga 73
stfpuxadinhodoptcc 10
amazonrainforests 13
simonyesssssssss 1
brazilselection 43
fechadoacombolsonaro 7
ff 27
flow_bl 2
lovely 2
aglobodefendeacorrupção 6
globohá97anosdesinformadoopovo 6
lulaéopovo 12
redeglobodemanipulação 6
repentancebringshealing 1
brasilemdesenvolvimento 1
somoslula13 8
brasileuconfio 7
deixaopresidentetrabalhar 7
lulano1ºturno13 482
bolzonarocriminal 2
ptvaiteenganarmaisumavez 3
esquerdahipocrita 154
perseguidordadireita 1
prisãoperpétuajá 23
voodoo 4
ocapitaovaivenceroladrão 106
podeespernearocapitaovaiganhar 18
renansuspeito 2
bolsonarofazmilagres 2
30hdaenfermagem 1
derrubavetopl2564 1
difuntopolitico 1
podegastar 3
taperdido 3
partiuconvenção 1
tamojuntodanilo 1
amazonbooks 13
amazonebook 13
amazonkindle 24
book 343
books 333
ebookstore 13
jatakatales 13
kindle 53
kindledeals 13
kindleedition 13
kindleunlimited 21
storybook 13
theatrebook 13
bullshits 2
adrianaventuradeputadafederal 5
leosiqueiradeputadoestadual 5
forafacchin 4
odiodobempodene 1
venezuelaespaz 35
bilsonaronacadeia 5
globoarregou 7
jornalnacionalverganho 6
senafordpvat 1
lenguaje 4
noticiascristianas2022 17
58diaspravotarnolula 1
bonoro22 24
equipecricielle 3
lulanomaranhao 13
stforganizacaocriminosapetista 10
pdtnacional 26
enfermagemcombolsonaro 3
gratidaosenhor 3
vencemos 62
saudeapoialula 2
agroassassino 6
agrobandido 6
agrodolares 10
agrofdp 6
agromiliciano 6
agropop 7
pedaçodepão 6
saciarafome 6
pão 62
fabianocontarato 3
fatimaperolaneggra 2
pobrededireitaotario 2
somostodospauloguedes 2
fascists 26
sonsofbastards 3
lula13presnoprimeiroturno 1
livrado 3
obrasiltemjeito 17
saidinha 31
comamorecoragem 1
pratodosverem 240
firajanones 4
naoqueremosladraocomopresidente 4
andrececilianoreidarachadinha 3
mafiosooumiliciano 3
riodaspedrasoupcc 3
brunorobertosenador 6
senadordebolsonaro 3
adesivos 5
comprarvotos 1
piadaoupesadelo 2
semente 2
católico 1515
governosdopt 9
legado 13
trudeaucorruption 32
trudeaumustresign 6
artigos 1
litio 144
globo_bosta 5
globo_escrota 5
globo_esgoto 5
globo_lixo 6
globo_merda 5
globo_nojo 5
pitv 21
cueca 9
dialogoscabulosos 6
globobostas 1
curitibasemracista 2
renatoumdenós 4
globofalida 3
rainhadacpi 1
deixeobrasilempaz 2
desistedareeleição 2
gettrespañol 4
capitaoreeleito 7
cumprido 14
soltando 14
vivaomito 1
votonulonosdoisturnos 1
sinalaberto 3
tiangua 1
redetv 1122
pec32nunca 1
reformaadministrativanão 12
randolfepreso 4
esseéobrasilqueopovoprecisa 3
sigotodosdevolta 3
fechaglobo 2
naorenoveaconcessaodaglobo 1
disruptivo 4
futuropresente 4
inovacao 5
adeus 1896
josoareseterno 11
associe 2
partis 2
lulaw 7
prnometaverso 21
comemorada 6
substituição 6
sóparalembrar 6
witzel 6
brunomirandasenadormg 7
alfredonascimento 6
pingafogo 44
josemedeirosmtreeleito22 1
dacadeirapracadeia 6
randolfrifrigueslixo 1
jmonline 1
agenda2030nao 173
votoimpressoauditavelja2022 2
censo2022 63
bozodoente 1
alkimin 27
deusjô 1
cirolgbtfóbico 1
ciroracista 1
tocantins 829
boldonaroreeleitoem22 1
moroheroibrasileiro 1
euvoudegraçaverbolsonaro 2
geral 39
cirodoisdigitos 2
glbolixo 3
luisinacioluladasilva 64
estadodediteitosempre 2
derrubavetodaenfermagem 1
rechazosalvaachile 1
renunciamerluzo 20
carlazambellidepfederaldesãopaulo2022 69
ricardosallesdeputadofederaldesãopaulo2022 25
impeachmentdepachecourgente 6
querotransparencianasurnas 6
senadoresomissosreajam 6
stfpartidopoliticosemvotos 6
vamoslutarpornossaliberdade 6
bolsonaropresidentedaamericadosul 1
policiaisfederais 2
políciafederalguardiãnacional 2
curitibasemracismo 4
