POS|TG|POL:N0|POL:N1
acorrentar-se|V|HUM:N0|-1|NaN
acorrentar|V|HUM:N0:N1|1|-1
acossado|Adj|HUM:N0|-1|NaN
acossar|V|HUM:N0:N1|1|-1
acostumado|Adj|HUM:N0|0|NaN
acotovelar|V|HUM:N0:N1|0|-1
açougueiro|Adj|HUM:N0|-1|NaN
acre|Adj|HUM:N0|-1|NaN
acreditado|Adj|HUM:N0|1|NaN
acreditar|V|HUM:N0:N1|0|1
acriançado|Adj|HUM:N0|-1|NaN
acrisolado|Adj|HUM:N0|0|NaN
acrítico|Adj|HUM:N0|-1|NaN
activo|Adj|HUM:N0|1|NaN
actualista|Adj|HUM:N0|0|NaN
acudir|V|HUM:N0:N1|1|0
aculturado|Adj|HUM:N0|-1|NaN
acurado|Adj|HUM:N0|1|NaN
acusado|Adj|HUM:N0|-1|NaN
acusar|V|HUM:N0:N1|0|-1
acutilante|Adj|HUM:N0|-1|NaN
adâmico|Adj|HUM:N0|-1|NaN
adaptado|Adj|HUM:N0|0|NaN
adepto|Adj|HUM:N0|1|NaN
adequado|Adj|HUM:N0|1|NaN
adestrado|Adj|HUM:N0|1|NaN
adicional|Adj|HUM:N0|0|NaN
adiposo|Adj|HUM:N0|-1|NaN
adjacente|Adj|HUM:N0|0|NaN
administrado|Adj|HUM:N0|0|NaN
admirar|V|HUM:N0:N1|0|1
admirável|Adj|HUM:N0|1|NaN
admitido|Adj|HUM:N0|0|NaN
admoestador|Adj|HUM:N0|-1|NaN
adoentado|Adj|HUM:N0|-1|NaN
adorado|Adj|HUM:N0|1|NaN
adorando|Adj|HUM:N0|1|NaN
adorar|V|HUM:N0:N1|0|1
adorável|Adj|HUM:N0|1|NaN
adormecido|Adj|HUM:N0|-1|NaN
adulador|Adj|HUM:N0|-1|NaN
adulterador|Adj|HUM:N0|-1|NaN
adulterino|Adj|HUM:N0|-1|NaN
adultério|N|HUM:N0|-1|NaN
adúltero|Adj|HUM:N0|-1|NaN
adulto|Adj|HUM:N0|0|NaN
adventista|Adj|HUM:N0|0|NaN
adverso|Adj|HUM:N0|-1|NaN
aéreo|Adj|HUM:N0|-1|NaN
afabilidade|N|HUM:N0|1|NaN
afamado|Adj|HUM:N0|1|NaN
afanado|Adj|HUM:N0|-1|NaN
afasia|N|HUM:N0|-1|NaN
afásico|Adj|HUM:N0|-1|NaN
afastar|V|HUM:N0:N1|0|-1
afável|Adj|HUM:N0|1|NaN
afectado|Adj|HUM:N0|-1|NaN
afectar|V|HUM:N0:N1|0|-1
afectividade|N|HUM:N0|1|NaN
afectivo|Adj|HUM:N0|1|NaN
afecto|N|HUM:N0|1|NaN
afectuoso|Adj|HUM:N0|1|NaN
afeiçoado|Adj|HUM:N0|1|NaN
afeito|Adj|HUM:N0|0|NaN
afeminado|Adj|HUM:N0|-1|NaN
aferido|Adj|HUM:N0|0|NaN
aferrado|Adj|HUM:N0|0|NaN
afetado|Adj|HUM:N0|-1|NaN
afetividade|N|HUM:N0|1|NaN
afetivo|Adj|HUM:N0|1|NaN
afeto|N|HUM:N0|1|NaN
afetuoso|Adj|HUM:N0|1|NaN
afiado|Adj|HUM:N0|-1|NaN
afidalgado|Adj|HUM:N0|0|NaN
afilado|Adj|HUM:N0|0|NaN
afilhado|Adj|HUM:N0|0|NaN
