POS|TG|POL:N0|POL:N1
dar uma lição a|IDIOM|HUM:N0:N1|1|-1
dar uma lição de moral a|IDIOM|HUM:N0:N1|1|-1
dar uma malha a|IDIOM|HUM:N0:N1|1|-1
dar uma mãozinha a|IDIOM|HUM:N0:N1|1|-1
dar uma no cravo e outra na ferradura|IDIOM|HUM:N0|-1|NaN
dar uma surra a|IDIOM|HUM:N0:N1|1|-1
dar voltas no caixão|IDIOM|HUM:N0|-1|NaN
dardejante|Adj|HUM:N0|0|NaN
dávida|N|HUM:N0|1|NaN
deambulação|N|HUM:N0|-1|NaN
deambulante|Adj|HUM:N0|-1|NaN
deambular|V|HUM:N0|-1|NaN
debandado|Adj|HUM:N0|-1|NaN
débil|Adj|HUM:N0|-1|NaN
debilidade|N|HUM:N0|-1|NaN
debilitação|N|HUM:N0|-1|NaN
debilitado|Adj|HUM:N0|-1|NaN
debilitar|V|HUM:N0:N1|1|-1
debochado|Adj|HUM:N0|-1|NaN
deboche|N|HUM:N0|-1|NaN
decadência|N|HUM:N0|-1|NaN
decadente|Adj|HUM:N0|-1|NaN
decadentista|Adj|HUM:N0|-1|NaN
decaído|Adj|HUM:N0|-1|NaN
decapitar|V|HUM:N0:N1|1|-1
decência|N|HUM:N0|1|NaN
decente|Adj|HUM:N0|1|NaN
decepado|Adj|HUM:N0|-1|NaN
decepar|V|HUM:N0:N1|1|-1
decepção|N|HUM:N0|-1|NaN
decepcionado|Adj|HUM:N0|-1|NaN
decepcionante|Adj|HUM:N0|-1|NaN
decepcionar|V|HUM:N0:N1|-1|0
decidido|Adj|HUM:N0|1|NaN
decisivo|Adj|HUM:N0|0|NaN
decoro|N|HUM:N0|1|NaN
decoroso|Adj|HUM:N0|1|NaN
decrepidez|N|HUM:N0|-1|NaN
decrépito|Adj|HUM:N0|-1|NaN
dedicação|N|HUM:N0|1|NaN
dedicado|Adj|HUM:N0|1|NaN
defeituoso|Adj|HUM:N0|-1|NaN
defensiva|N|HUM:N0|-1|NaN
defensor|Adj|HUM:N0|1|NaN
deferente|Adj|HUM:N0|1|NaN
deferido|Adj|HUM:N0|1|NaN
defesso|Adj|HUM:N0|-1|NaN
deficiente|Adj|HUM:N0|-1|NaN
definhado|Adj|HUM:N0|-1|NaN
definhamento|N|HUM:N0|-1|NaN
deformação|N|HUM:N0|-1|NaN
deformado|Adj|HUM:N0|-1|NaN
defraudar as expectativas de|IDIOM|HUM:N0:N1|-1|0
defraudar|V|HUM:N0:N1|-1|0
defunto|Adj|HUM:N0|-1|NaN
degenerado|Adj|HUM:N0|-1|NaN
degradado|Adj|HUM:N0|-1|NaN
degradante|Adj|HUM:N0|-1|NaN
degredado|Adj|HUM:N0|-1|NaN
degredo|N|HUM:N0|-1|NaN
deicida|Adj|HUM:N0|-1|NaN
deitar achas na fogueira|IDIOM|HUM:N0|-1|NaN
deitar água na fervura|IDIOM|HUM:N0|1|NaN
deitar as unhas a|IDIOM|HUM:N0|-1|NaN
deitar foguetes antes da festa|IDIOM|HUM:N0|-1|NaN
deitar lenha na fogueira|IDIOM|HUM:N0|-1|NaN
deitar poeira aos olhos a|IDIOM|HUM:N0:N1|-1|0
deitar poeira para os olhos de|IDIOM|HUM:N0:N1|-1|0
deitar tudo a perder|IDIOM|HUM:N0|-1|NaN
deitar tudo para trás das costas|IDIOM|HUM:N0|-1|NaN
deitar tudo por água abaixo|IDIOM|HUM:N0|-1|NaN
deixar com as calças na mão|IDIOM|HUM:N0:N1|-1|0
deixar com as mãos a abanar|IDIOM|HUM:N0:N1|-1|0
deixar de rastos|IDIOM|HUM:N0:N1|-1|0
deixar muito a desejar|IDIOM|HUM:N0|-1|NaN
deixar o barco à deriva|IDIOM|HUM:N0|-1|NaN
deixar o país de tanga|IDIOM|HUM:N0|-1|NaN
deixar tudo para depois|IDIOM|HUM:N0|-1|NaN
deixar-se levar|IDIOM|HUM:N0|-1|NaN
delambido|Adj|HUM:N0|-1|NaN
deleitoso|Adj|HUM:N0|1|NaN
deletério|Adj|HUM:N0|-1|NaN
delgado|Adj|HUM:N0|0|NaN
delicadeza|N|HUM:N0|1|NaN
delicado|Adj|HUM:N0|1|NaN
delicioso|Adj|HUM:N0|1|NaN
delinquência|N|HUM:N0|-1|NaN
delinquente|Adj|HUM:N0|-1|NaN
delirar|V|HUM:N0|-1|NaN
delituoso|Adj|HUM:N0|-1|NaN
demagogia|N|HUM:N0|-1|NaN
demagógico|Adj|HUM:N0|-1|NaN
demagogo|Adj|HUM:N0|-1|NaN
demarcado|Adj|HUM:N0|-1|NaN
demência|N|HUM:N0|-1|NaN
demente|Adj|HUM:N0|-1|NaN
demérito|Adj|HUM:N0|-1|NaN
demitido|Adj|HUM:N0|-1|NaN
democracia|N|HUM:N0|1|NaN
democrata|Adj|HUM:N0|0|NaN
democraticidade|N|HUM:N0|1|NaN
democrático|Adj|HUM:N0|1|NaN
démodé|Adj|HUM:N0|-1|NaN
demolidor|Adj|HUM:N0|-1|NaN
demoníaco|Adj|HUM:N0|-1|NaN
demorado|Adj|HUM:N0|-1|NaN
denegrido|Adj|HUM:N0|-1|NaN
denegrir a imagem de|IDIOM|HUM:N0:N1|0|-1
denegrir a sua imagem|IDIOM|HUM:N0|-1|NaN
denegrir|V|HUM:N0:N1|0|-1
dengoso|Adj|HUM:N0|-1|NaN
denodado|Adj|HUM:N0|1|NaN
depauperado|Adj|HUM:N0|-1|NaN
depenado|Adj|HUM:N0|-1|NaN
dependurado|Adj|HUM:N0|-1|NaN
deploração|N|HUM:N0|-1|NaN
deplorável|Adj|HUM:N0|-1|NaN
deportado|Adj|HUM:N0|-1|NaN
deposto|Adj|HUM:N0|-1|NaN
depravação|N|HUM:N0|-1|NaN
depravado|Adj|HUM:N0|-1|NaN
depravador|Adj|HUM:N0|-1|NaN
depreciado|Adj|HUM:N0|-1|NaN
depreciar|V|HUM:N0:N1|-1|0
depreciativo|Adj|HUM:N0|-1|NaN
depressão maníaca|N|HUM:N0|-1|NaN
depressão|N|HUM:N0|-1|NaN
depressivo|Adj|HUM:N0|-1|NaN
depressor|Adj|HUM:N0|-1|NaN
deprimência|N|HUM:N0|-1|NaN
deprimente|Adj|HUM:N0|-1|NaN
deprimido|Adj|HUM:N0|-1|NaN
depurado|Adj|HUM:N0|0|NaN
derramado|Adj|HUM:N0|-1|NaN
derreado|Adj|HUM:N0|-1|NaN
derreamento|N|HUM:N0|-1|NaN
derrear|V|HUM:N0:N1|1|-1
derreter|V|HUM:N0:N1|1|-1
derrota|N|HUM:N0|-1|NaN
derrotado|Adj|HUM:N0|-1|NaN
derrotar|V|HUM:N0:N1|1|-1
derrotismo|N|HUM:N0|-1|NaN
derrotista|Adj|HUM:N0|-1|NaN
derrubado|Adj|HUM:N0|-1|NaN
derrubar|V|HUM:N0:N1|1|-1
desabonado|Adj|HUM:N0|-1|NaN
desabrido|Adj|HUM:N0|-1|NaN
desabrigado|Adj|HUM:N0|-1|NaN
desabusado|Adj|HUM:N0|-1|NaN
desacompanhado|Adj|HUM:N0|-1|NaN
desacordado|Adj|HUM:N0|-1|NaN
desacreditado|Adj|HUM:N0|-1|NaN
desacreditar|V|HUM:N0:N1|1|-1
desactualizado|Adj|HUM:N0|-1|NaN
desadaptado|Adj|HUM:N0|-1|NaN
desafectado|Adj|HUM:N0|1|NaN
desafecto|Adj|HUM:N0|-1|NaN
desafetado|Adj|HUM:N0|1|NaN
desafeto|Adj|HUM:N0|-1|NaN
desafiador|Adj|HUM:N0|0|NaN
desafiante|Adj|HUM:N0|0|NaN
desafinação|N|HUM:N0|-1|NaN
desafinado|Adj|HUM:N0|-1|NaN
desafogado|Adj|HUM:N0|1|NaN
desaforado|Adj|HUM:N0|-1|NaN
desaforido|Adj|HUM:N0|-1|NaN
desafortunado|Adj|HUM:N0|-1|NaN
desagradado|Adj|HUM:N0|-1|NaN
desagradável|Adj|HUM:N0|-1|NaN
desagradecido|Adj|HUM:N0|-1|NaN
desagrado|N|HUM:N0|-1|NaN
desaire|N|HUM:N0|-1|NaN
desairoso|Adj|HUM:N0|-1|NaN
desajeitado|Adj|HUM:N0|-1|NaN
desajustado|Adj|HUM:N0|-1|NaN
desalentado|Adj|HUM:N0|-1|NaN
desalento|N|HUM:N0|-1|NaN
desalinhado|Adj|HUM:N0|-1|NaN
desalinhamento|N|HUM:N0|-1|NaN
desalmado|Adj|HUM:N0|-1|NaN
desalojado|Adj|HUM:N0|-1|NaN
desamparado|Adj|HUM:N0|-1|NaN
desamparo|N|HUM:N0|-1|NaN
desancar|V|HUM:N0:N1|1|-1
desanimação|N|HUM:N0|-1|NaN
desanimado|Adj|HUM:N0|-1|NaN
desanimador|Adj|HUM:N0|-1|NaN
desânimo|N|HUM:N0|-1|NaN
desapaixonado|Adj|HUM:N0|-1|NaN
desaparafusado|Adj|HUM:N0|-1|NaN
desaparecer do mapa|IDIOM|HUM:N0|-1|NaN
desaparecido|Adj|HUM:N0|-1|NaN
desapegado|Adj|HUM:N0|-1|NaN
desapiedado|Adj|HUM:N0|-1|NaN
desapontado|Adj|HUM:N0|-1|NaN
desapontador|Adj|HUM:N0|-1|NaN
desapossado|Adj|HUM:N0|-1|NaN
desapropriado|Adj|HUM:N0|-1|NaN
desaprovador|Adj|HUM:N0|-1|NaN
desaproveitado|Adj|HUM:N0|-1|NaN
desarmante|Adj|HUM:N0|1|NaN
desarmar|V|HUM:N0:N1|1|-1
desarranjado|Adj|HUM:N0|-1|NaN
desarrazoado|Adj|HUM:N0|-1|NaN
desarrumado|Adj|HUM:N0|-1|NaN
desarticulado|Adj|HUM:N0|-1|NaN
desassisado|Adj|HUM:N0|-1|NaN
desassombrado|Adj|HUM:N0|0|NaN
desassossegado|Adj|HUM:N0|-1|NaN
desassossego|N|HUM:N0|-1|NaN
desastrado|Adj|HUM:N0|-1|NaN
desastre|N|HUM:N0|-1|NaN
desastroso|Adj|HUM:N0|-1|NaN
desatado|Adj|HUM:N0|0|NaN
desatento|Adj|HUM:N0|-1|NaN
desatinado|Adj|HUM:N0|-1|NaN
desatualizado|Adj|HUM:N0|-1|NaN
desaustinado|Adj|HUM:N0|-1|NaN
desavergonhado|Adj|HUM:N0|-1|NaN
desavisado|Adj|HUM:N0|-1|NaN
desbaratado|Adj|HUM:N0|-1|NaN
desbaratador|Adj|HUM:N0|-1|NaN
desbocado|Adj|HUM:N0|-1|NaN
desbocamento|N|HUM:N0|-1|NaN
desbotado|Adj|HUM:N0|-1|NaN
desbragado|Adj|HUM:N0|-1|NaN
desbravador|Adj|HUM:N0|0|NaN
descabelado|Adj|HUM:N0|-1|NaN
descabelar-se|V|HUM:N0|-1|NaN
descabelar|V|HUM:N0:N1|1|-1
descabido|Adj|HUM:N0|-1|NaN
descadeirado|Adj|HUM:N0|-1|NaN
descalabro|N|HUM:N0|-1|NaN
descalço|Adj|HUM:N0|-1|NaN
descamisado|Adj|HUM:N0|-1|NaN
descansado|Adj|HUM:N0|0|NaN
descarado|Adj|HUM:N0|-1|NaN
descaramento|N|HUM:N0|-1|NaN
descarnado|Adj|HUM:N0|-1|NaN
descascado|Adj|HUM:N0|-1|NaN
descautelado|Adj|HUM:N0|-1|NaN
descer ao mais baixo nível|IDIOM|HUM:N0|-1|NaN
descer nas sondagens|IDIOM|HUM:N0|-1|NaN
descerimonioso|Adj|HUM:N0|1|NaN
descerrado|Adj|HUM:N0|-1|NaN
desclassificado|Adj|HUM:N0|-1|NaN
descobridor|Adj|HUM:N0|0|NaN
descomedido|Adj|HUM:N0|-1|NaN
descomedimento|N|HUM:N0|-1|NaN
descomplexado|Adj|HUM:N0|1|NaN
descomprometido|Adj|HUM:N0|0|NaN
descompromissado|Adj|HUM:N0|0|NaN
desconcentração|N|HUM:N0|-1|NaN
desconcentrado|Adj|HUM:N0|-1|NaN
desconcertado|Adj|HUM:N0|-1|NaN
desconexo|Adj|HUM:N0|-1|NaN
desconfiado|Adj|HUM:N0|-1|NaN
desconfortável|Adj|HUM:N0|-1|NaN
desconhecedor|Adj|HUM:N0|-1|NaN
desconsideração|N|HUM:N0|-1|NaN
desconsiderado|Adj|HUM:N0|0|NaN
desconsolação|N|HUM:N0|-1|NaN
desconsolado|Adj|HUM:N0|-1|NaN
descontentamento|N|HUM:N0|-1|NaN
descontente|Adj|HUM:N0|-1|NaN
descontraído|Adj|HUM:N0|1|NaN
descontrolado|Adj|HUM:N0|-1|NaN
descontrolo|N|HUM:N0|-1|NaN
descoordenação|N|HUM:N0|-1|NaN
descoordenado|Adj|HUM:N0|-1|NaN
descorado|Adj|HUM:N0|-1|NaN
descoroçoado|Adj|HUM:N0|-1|NaN
descortês|Adj|HUM:N0|-1|NaN
descortesia|N|HUM:N0|-1|NaN
descrente|Adj|HUM:N0|0|NaN
descuidado|Adj|HUM:N0|-1|NaN
descuido|N|HUM:N0|-1|NaN
desculpado|Adj|HUM:N0|0|NaN
desculpável|Adj|HUM:N0|0|NaN
desdém|N|HUM:N0|-1|NaN
desdenhar|V|HUM:N0:N1|-1|0
desdenhoso|Adj|HUM:N0|-1|NaN
desdentado|Adj|HUM:N0|-1|NaN
desdito|Adj|HUM:N0|-1|NaN
desditoso|Adj|HUM:N0|-1|NaN
desejável|Adj|HUM:N0|1|NaN
deselegância|N|HUM:N0|-1|NaN
deselegante|Adj|HUM:N0|-1|NaN
desembaraçado|Adj|HUM:N0|1|NaN
desemparelhado|Adj|HUM:N0|-1|NaN
desempenado|Adj|HUM:N0|1|NaN
desempregado|Adj|HUM:N0|-1|NaN
desemprego|N|HUM:N0|-1|NaN
desencalhado|Adj|HUM:N0|0|NaN
desencalhe |N|HUM:N0|-1|NaN
desencaminhado|Adj|HUM:N0|-1|NaN
desencaminhador|Adj|HUM:N0|-1|NaN
desencaminhamento|N|HUM:N0|-1|NaN
desencantado|Adj|HUM:N0|0|NaN
desencontrado|Adj|HUM:N0|-1|NaN
desengonçado|Adj|HUM:N0|-1|NaN
desengraçado|Adj|HUM:N0|-1|NaN
desenrascado|Adj|HUM:N0|1|NaN
desenvencilhado|Adj|HUM:N0|1|NaN
desenvolto|Adj|HUM:N0|1|NaN
desenvoltura|N|HUM:N0|1|NaN
desenxabidez|N|HUM:N0|-1|NaN
desenxabido|Adj|HUM:N0|-1|NaN
desequilibrado|Adj|HUM:N0|-1|NaN
desequilíbrio|N|HUM:N0|-1|NaN
desertar|V|HUM:N0|-1|NaN
desertor|Adj|HUM:N0|-1|NaN
desesperado|Adj|HUM:N0|-1|NaN
desesperança|N|HUM:N0|-1|NaN
desesperançado|Adj|HUM:N0|-1|NaN
desespero|N|HUM:N0|-1|NaN
desestabilizador|Adj|HUM:N0|-1|NaN
desfalcar|V|HUM:N0:N1|-1|0
desfalecido|Adj|HUM:N0|-1|NaN
desfasado|Adj|HUM:N0|-1|NaN
desfavorecido|Adj|HUM:N0|-1|NaN
desfeito|Adj|HUM:N0|-1|NaN
desfigurado|Adj|HUM:N0|-1|NaN
desforrar-se|V|HUM:N0:N1|1|-1
desfrutado|Adj|HUM:N0|1|NaN
desgarrado|Adj|HUM:N0|-1|NaN
desgastado|Adj|HUM:N0|-1|NaN
desgaste|N|HUM:N0|-1|NaN
desgosto|N|HUM:N0|-1|NaN
desgostoso|Adj|HUM:N0|-1|NaN
desgovernação|N|HUM:N0|-1|NaN
desgovernado|Adj|HUM:N0|-1|NaN
desgoverno|N|HUM:N0|-1|NaN
desgraça|N|HUM:N0|-1|NaN
desgraçado|Adj|HUM:N0|-1|NaN
desgracioso|Adj|HUM:N0|-1|NaN
desgrenhado|Adj|HUM:N0|-1|NaN
desidratação|N|HUM:N0|-1|NaN
desiludido|Adj|HUM:N0|-1|NaN
desimpedido|Adj|HUM:N0|0|NaN
desinfeliz|Adj|HUM:N0|-1|NaN
desinformação|N|HUM:N0|-1|NaN
desinformado|Adj|HUM:N0|-1|NaN
desinibido|Adj|HUM:N0|1|NaN
desinstruído|Adj|HUM:N0|-1|NaN
desinteressado|Adj|HUM:N0|-1|NaN
desinteressante|Adj|HUM:N0|-1|NaN
desinteresse|N|HUM:N0|-1|NaN
desistir|V|HUM:N0:N1|-1|0
deslambido|Adj|HUM:N0|-1|NaN
deslavado|Adj|HUM:N0|-1|NaN
desleal|Adj|HUM:N0|-1|NaN
deslealdade|N|HUM:N0|-1|NaN
desleixado|Adj|HUM:N0|-1|NaN
desleixar-se|V|HUM:N0|-1|NaN
desleixo |N|HUM:N0|-1|NaN
desligado|Adj|HUM:N0|-1|NaN
deslocado|Adj|HUM:N0|-1|NaN
deslumbrante|Adj|HUM:N0|1|NaN
deslumbrar|V|HUM:N0:N1|1|0
desmaiado|Adj|HUM:N0|-1|NaN
desmanchado|Adj|HUM:N0|-1|NaN
desmantelado|Adj|HUM:N0|-1|NaN
desmascarar|V|HUM:N0:N1|1|-1
desmazelado|Adj|HUM:N0|-1|NaN
desmazelamento|N|HUM:N0|-1|NaN
desmazelo|N|HUM:N0|-1|NaN
desmedido|Adj|HUM:N0|-1|NaN
desmemoriado|Adj|HUM:N0|-1|NaN
desmentido|Adj|HUM:N0|-1|NaN
desmentir|V|HUM:N0:N1|0|-1
desmesurado|Adj|HUM:N0|-1|NaN
desmiolado|Adj|HUM:N0|-1|NaN
desmontado|Adj|HUM:N0|-1|NaN
desmoralização|N|HUM:N0|-1|NaN
desmoralizado|Adj|HUM:N0|-1|NaN
desmoralizador|Adj|HUM:N0|-1|NaN
desmoronar-se|V|HUM:N0|-1|NaN
desmotivação|N|HUM:N0|-1|NaN
desmotivado|Adj|HUM:N0|-1|NaN
desmotivador|Adj|HUM:N0|-1|NaN
desnaturado|Adj|HUM:N0|-1|NaN
desnaturalizado|Adj|HUM:N0|0|NaN
desnorteado|Adj|HUM:N0|-1|NaN
desnorteamento|N|HUM:N0|-1|NaN
desnudado|Adj|HUM:N0|0|NaN
desnudo|Adj|HUM:N0|0|NaN
desnutrição|N|HUM:N0|-1|NaN
desobediência|N|HUM:N0|-1|NaN
desobediente|Adj|HUM:N0|-1|NaN
desobrigado|Adj|HUM:N0|0|NaN
desocupado|Adj|HUM:N0|-1|NaN
desolação|N|HUM:N0|-1|NaN
desolado|Adj|HUM:N0|-1|NaN
desolador|Adj|HUM:N0|-1|NaN
desolhado|Adj|HUM:N0|-1|NaN
desonestidade|N|HUM:N0|-1|NaN
desonesto|Adj|HUM:N0|-1|NaN
desonra|N|HUM:N0|-1|NaN
desonrado|Adj|HUM:N0|-1|NaN
desonrar|V|HUM:N0:N1|-1|0
desonroso|Adj|HUM:N0|-1|NaN
desordeiro|Adj|HUM:N0|-1|NaN
desordem|N|HUM:N0|-1|NaN
desordenado|Adj|HUM:N0|-1|NaN
desorganização|N|HUM:N0|-1|NaN
desorganizado|Adj|HUM:N0|-1|NaN
desorientação|N|HUM:N0|-1|NaN
desorientado|Adj|HUM:N0|-1|NaN
despachado|Adj|HUM:N0|1|NaN
despassarado|Adj|HUM:N0|-1|NaN
despegado|Adj|HUM:N0|0|NaN
despeitado|Adj|HUM:N0|-1|NaN
despeitar|V|HUM:N0:N1|-1|0
despeito|N|HUM:N0|-1|NaN
despeitorado|Adj|HUM:N0|-1|NaN
despejado|Adj|HUM:N0|-1|NaN
despenteado|Adj|HUM:N0|-1|NaN
despercebido|Adj|HUM:N0|-1|NaN
desperdiçado|Adj|HUM:N0|-1|NaN
desperdiçador|Adj|HUM:N0|-1|NaN
desperto|Adj|HUM:N0|1|NaN
despesista|Adj|HUM:N0|-1|NaN
despirocado|Adj|HUM:N0|-1|NaN
despistado|Adj|HUM:N0|-1|NaN
desplante|N|HUM:N0|-1|NaN
despojado|Adj|HUM:N0|0|NaN
despótico|Adj|HUM:N0|-1|NaN
despregado|Adj|HUM:N0|-1|NaN
desprendido|Adj|HUM:N0|0|NaN
despreocupação|N|HUM:N0|-1|NaN
despreocupado|Adj|HUM:N0|0|NaN
despretensioso|Adj|HUM:N0|1|NaN
desprevenção|N|HUM:N0|-1|NaN
desprevenido|Adj|HUM:N0|-1|NaN
desprezado|Adj|HUM:N0|-1|NaN
desprezável|Adj|HUM:N0|-1|NaN
desprezível|Adj|HUM:N0|-1|NaN
desprezo|N|HUM:N0|-1|NaN
desprimoroso|Adj|HUM:N0|-1|NaN
desproporcionado|Adj|HUM:N0|-1|NaN
despropositado|Adj|HUM:N0|-1|NaN
despropósito|N|HUM:N0|-1|NaN
desprotegido|Adj|HUM:N0|-1|NaN
despudor|N|HUM:N0|-1|NaN
despudorado|Adj|HUM:N0|-1|NaN
desqualificado|Adj|HUM:N0|-1|NaN
desregrado|Adj|HUM:N0|-1|NaN
desregulado|Adj|HUM:N0|-1|NaN
desremediado|Adj|HUM:N0|-1|NaN
desrespeitado|Adj|HUM:N0|-1|NaN
desrespeitador|Adj|HUM:N0|-1|NaN
desrespeitar|V|HUM:N0:N1|-1|0
desrespeito|N|HUM:N0|-1|NaN
desrespeitoso|Adj|HUM:N0|-1|NaN
destabilizador|Adj|HUM:N0|-1|NaN
destampado|Adj|HUM:N0|-1|NaN
destapado|Adj|HUM:N0|-1|NaN
destemido|Adj|HUM:N0|1|NaN
destemperado|Adj|HUM:N0|-1|NaN
desterrado|Adj|HUM:N0|-1|NaN
destoante|Adj|HUM:N0|-1|NaN
destrambelhado|Adj|HUM:N0|-1|NaN
destrambelhamento|N|HUM:N0|-1|NaN
destratado|Adj|HUM:N0|-1|NaN
destravado|Adj|HUM:N0|-1|NaN
destroçado|Adj|HUM:N0|-1|NaN
destroço|N|HUM:N0|-1|NaN
destronar|V|HUM:N0:N1|1|-1
destruição|N|HUM:N0|-1|NaN
destruído|Adj|HUM:N0|-1|NaN
destruidor|Adj|HUM:N0|-1|NaN
destruir|V|HUM:N0:N1|1|-1
destrutivo|Adj|HUM:N0|-1|NaN
destrutor|Adj|HUM:N0|-1|NaN
desumanidade|N|HUM:N0|-1|NaN
desumano|Adj|HUM:N0|-1|NaN
desunido|Adj|HUM:N0|-1|NaN
desusado|Adj|HUM:N0|-1|NaN
desvairado|Adj|HUM:N0|-1|NaN
desvairamento|N|HUM:N0|-1|NaN
desvalido|Adj|HUM:N0|-1|NaN
desvanecer|V|HUM:N0|-1|NaN
desvanecido|Adj|HUM:N0|0|NaN
desvantagem|N|HUM:N0|-1|NaN
desvariado|Adj|HUM:N0|-1|NaN
desvario|N|HUM:N0|-1|NaN
desvelado|Adj|HUM:N0|1|NaN
desvelo|N|HUM:N0|1|NaN
desvendado|Adj|HUM:N0|0|NaN
desventurado|Adj|HUM:N0|-1|NaN
desventuroso|Adj|HUM:N0|-1|NaN
desviar dinheiro|IDIOM|HUM:N0|-1|NaN
desvirtuado|Adj|HUM:N0|-1|NaN
desvitalizado|Adj|HUM:N0|-1|NaN
detalhado|Adj|HUM:N0|1|NaN
deteriorado|Adj|HUM:N0|-1|NaN
deteriorar|V|HUM:N0:N1|-1|0
determinação|N|HUM:N0|1|NaN
determinado|Adj|HUM:N0|1|NaN
detestado|Adj|HUM:N0|-1|NaN
detestar|V|HUM:N0:N1|0|-1
detestável|Adj|HUM:N0|-1|NaN
detido|Adj|HUM:N0|-1|NaN
detrator|Adj|HUM:N0|-1|NaN
deturpado|Adj|HUM:N0|-1|NaN
deturpar|V|HUM:N0:N1|-1|0
devaneador|Adj|HUM:N0|-1|NaN
devassado|Adj|HUM:N0|-1|NaN
devassidão|N|HUM:N0|-1|NaN
devasso|Adj|HUM:N0|-1|NaN
devastado|Adj|HUM:N0|-1|NaN
devastador|Adj|HUM:N0|-1|NaN
devastar|V|HUM:N0:N1|1|-1
dever comer farinha maizena|IDIOM|HUM:N0|-1|NaN
dever dobrar a língua|IDIOM|HUM:N0|-1|NaN
dever ter vergonha na cara|IDIOM|HUM:N0|-1|NaN
devoto de Baco|Adj|HUM:N0|-1|NaN
diabólico|Adj|HUM:N0|-1|NaN
diabolismo|N|HUM:N0|-1|NaN
diáfano|Adj|HUM:N0|1|NaN
dialogante|Adj|HUM:N0|1|NaN
difamação|N|HUM:N0|-1|NaN
difamado|Adj|HUM:N0|-1|NaN
difamador|Adj|HUM:N0|-1|NaN
difamar|V|HUM:N0:N1|-1|0
difamatório|Adj|HUM:N0|-1|NaN
diferente|Adj|HUM:N0|0|NaN
difícil|Adj|HUM:N0|-1|NaN
dificultar a vida a|IDIOM|HUM:N0:N1|1|-1
dificultar|V|HUM:N0:N1|1|-1
difuso|Adj|HUM:N0|-1|NaN
dignidade|N|HUM:N0|1|NaN
dignificar|V|HUM:N0:N1|1|0
digno de confiança|Adj|HUM:N0|1|NaN
digno|Adj|HUM:N0|1|NaN
digressionista|Adj|HUM:N0|-1|NaN
digressivo|Adj|HUM:N0|-1|NaN
dilacerado|Adj|HUM:N0|-1|NaN
dilacerar|V|HUM:N0:N1|1|-1
diletante|Adj|HUM:N0|0|NaN
diligência|N|HUM:N0|1|NaN
diligente|Adj|HUM:N0|1|NaN
diminuído|Adj|HUM:N0|-1|NaN
diminuir|V|HUM:N0:N1|1|-1
dinâmico|Adj|HUM:N0|1|NaN
dinamismo|N|HUM:N0|1|NaN
dinamizador|Adj|HUM:N0|1|NaN
diplomacia|N|HUM:N0|1|NaN
diplomático|Adj|HUM:N0|1|NaN
directo|Adj|HUM:N0|1|NaN
direito de contas|Adj|HUM:N0|1|NaN
direito|Adj|HUM:N0|1|NaN
direto|Adj|HUM:N0|1|NaN
disciplina|N|HUM:N0|1|NaN
disciplinado|Adj|HUM:N0|1|NaN
disciplinador|Adj|HUM:N0|0|NaN
díscolo|Adj|HUM:N0|-1|NaN
discreto|Adj|HUM:N0|1|NaN
discrição|N|HUM:N0|1|NaN
discriminação|N|HUM:N0|-1|NaN
discriminado|Adj|HUM:N0|-1|NaN
discriminador|Adj|HUM:N0|-1|NaN
discriminar|V|HUM:N0:N1|-1|0
discursivo|Adj|HUM:N0|0|NaN
disfarçado|Adj|HUM:N0|-1|NaN
disfonia|N|HUM:N0|-1|NaN
disforme|Adj|HUM:N0|-1|NaN
disformidade|N|HUM:N0|-1|NaN
dislexia|N|HUM:N0|-1|NaN
disléxico|Adj|HUM:N0|-1|NaN
disparatado|Adj|HUM:N0|-1|NaN
disparatar|V|HUM:N0|-1|NaN
disparate|N|HUM:N0|-1|NaN
dispensado|Adj|HUM:N0|0|NaN
dispensável|Adj|HUM:N0|-1|NaN
dispersivo|Adj|HUM:N0|-1|NaN
disperso|Adj|HUM:N0|-1|NaN
displicência|N|HUM:N0|-1|NaN
displicente|Adj|HUM:N0|-1|NaN
disponível|Adj|HUM:N0|0|NaN
dissidente|Adj|HUM:N0|-1|NaN
dissimulação|N|HUM:N0|-1|NaN
dissimulado|Adj|HUM:N0|-1|NaN
dissimular|V|HUM:N0|-1|NaN
dissipado|Adj|HUM:N0|-1|NaN
dissipador|Adj|HUM:N0|-1|NaN
dissoluto|Adj|HUM:N0|-1|NaN
dissolvido|Adj|HUM:N0|-1|NaN
distante|Adj|HUM:N0|-1|NaN
distinguido|Adj|HUM:N0|0|NaN
distintivo|Adj|HUM:N0|0|NaN
distinto|Adj|HUM:N0|1|NaN
distorcer|V|HUM:N0|-1|NaN
distorcido|Adj|HUM:N0|-1|NaN
distraído|Adj|HUM:N0|-1|NaN
ditador|Adj|HUM:N0|-1|NaN
ditoso|Adj|HUM:N0|1|NaN
divagação|N|HUM:N0|-1|NaN
divagador|Adj|HUM:N0|-1|NaN
divagante|Adj|HUM:N0|-1|NaN
divagar|V|HUM:N0|-1|NaN
divertido|Adj|HUM:N0|1|NaN
divertimento|N|HUM:N0|1|NaN
divinal|Adj|HUM:N0|1|NaN
divino|Adj|HUM:N0|1|NaN
divo|Adj|HUM:N0|0|NaN
divulgador|Adj|HUM:N0|0|NaN
dizer a verdade|IDIOM|HUM:N0|1|NaN
