id_str timestamp_ms quoted_status.id_str hashtags botscore sentiment toxicity
1544532492601917441 1657080216919  "['lulaeleitonoprimeiroturno', 'lula13presidente', 'lula2022']" 0.29 -1 0
1544533351595491328 1657080421719  "['haddadgovernadorsp', 'alencarsantanadepfed', 'vamosjuntospelobrasil', 'professorabebeldepsp', 'lulapresidente13']" 0.55 -1 1
1544534309914218497 1657080650200  "['lula13', 'meuaniversáriodotwitter']" 0.16 0 0
1544534423714013186 1657080677332  "['lulanacadeia', 'cpidoptepcc', 'ptnuncamais']" 0.47 0 0
1544536521323298816 1657081177441  "['lulaladrão', 'ptnuncamais']" 0.09 0 1
1544538888173240323 1657081741742  "['bolsonaroreeleitoem2022', 'bolsonaro2022']" 0.08 1 0
1544540543031574531 1657082136291  "['fechadocombolsonaro', 'folhalixo', 'globolixoderretendo', 'bolsonarotemrazao', 'foramaia', 'stfgolpedeestado', 'forawitzel', 'foraalcolumbre', 'foradoria', 'bolsonaro2022', 'derretembl', 'todopoderemanadopovo', 'todosporbolsonaro', 'direiraraizébolsonaro', 'globolixo', 'naovotenodem']" 0.45 0 1
1544541064811483138 1657082260693  "['bolsonarotemrazao', 'conhecereisaverdadeeaverdadevoslibertara', 'jairbolsonaro', 'lulaeoptdestruiraoobrasil', 'ptnuncamais', 'bolsonaroreeleito2022', 'bolsonaroreeleitoem2022']" 0.22 0 0
1544541455934525441 1657082353944  "['ptorganizacaocriminosa', 'ptnuncamais', 'ptepccjuntos']" 0.28 0 1
1544541634230108160 1657082396453  "['governobrasileiro', 'bolsonarotemrazao', 'conhecereisaverdadeeaverdadevoslibertara', 'jairbolsonaro', 'luladrao', 'brasilcombolsonaro', 'ptnuncamais', 'bolsonaroreeleito2022']" 0.22 0 1
1544542299128045570 1657082554977  "['bolsonarotemrazao', 'conhecereisaverdadeeaverdadevoslibertara', 'luladrao', 'lulaeoptdestruiraoobrasil', 'ptnuncamais', 'bolsonaroreeleito2022', 'lulaladraoseulugarenaprisao', 'bolsonaroorgulhodobrasil']" 0.22 0 0
1544543014533701633 1657082725543  "['governobolsonaro', 'melhoradministração', 'semcorrupção']" 0.09 0 0
1544543193605324801 1657082768237  "['conhecereisaverdadeeaverdadevoslibertara', 'bolsonaropresidenteate2026', 'luladrao', 'instagramdown', 'ptnuncamais', 'bolsonaroreeleito2022', 'bolsonaroorgulhodobrasil']" 0.22 0 1
1544543349071384576 1657082805303  "['pabllovittar', 'lulanoprimeiroturno']" 0.0 1 0
1544543569297408001 1657082857809  "['lulapresidente', 'lulanoprimeiroturno', 'lula2022', 'lulapresidente13', 'lulaeleitonoprimeiroturno', 'lulaeoptmeubrasildevolta', 'lula13presidente', 'lula13']" 0.25 0 0
1544543813594759168 1657082916054  "['bolsonaroreeleitonoprimeiroturno', 'conhecereisaverdadeeaverdadevoslibertara', 'lulaeoptdestruiraoobrasil', 'ptnuncamais', 'bolsonaroorgulhodobrasil']" 0.22 0 1
1544544449753137152 1657083067726  "['esquerdasegueesquerda', 'lulapresidente13', 'esquerdacompradeesquerda', 'lula2022']" 0.62 0 1
1544545375578734594 1657083288460  "['bolsonaroreeleito2022', 'lulaeoptdestruiraoobrasil', 'ptnuncamais', 'conhecereisaverdadeeaverdadevoslibertara']" 0.22 0 0
1544546118062727169 1657083465482  "['fechadocombolsonaro', 'folhalixo', 'globolixoderretendo', 'bolsonarotemrazao', 'foramaia', 'stfgolpedeestado', 'forawitzel', 'foraalcolumbre', 'foradoria', 'bolsonaro2022', 'derretembl', 'todopoderemanadopovo', 'todosporbolsonaro', 'direiraraizébolsonaro', 'globolixo', 'naovotenodem']" 0.45 0 1
