id_str timestamp_ms quoted_status.id_str hashtags botscore sentiment toxicity
1543082092111822858 1656734414495  "['lulanoprimeiroturno', 'lulaeopteuvocêbrasilinteirinho']" 0.15 1 0
1543082681507905536 1656734555018  "['lulaeopteuvocebrasilinteirinho', 'lulanoprimeiroturno']" 0.3 0 1
1543082690253045761 1656734557103 1542680255500111872 "['bolsonaroreeleitonoprimeiroturno', 'cpidoptepcc']" 0.38 0 1
1543083231150571521 1656734686063  "['lulaeopteuvocebrasilinteirinho', 'lulanoprimeiroturno']" 0.3 0 1
1543083457269489664 1656734739974  "['forabozo', 'forabolsonarovagabundo', 'forabolsonaro']" 0.09 -1 1
1543083581060300800 1656734769488  "['lulanoprimeiroturno', 'lula13presidente', 'lulaeoptmeubrasildevolta']" 0.26 0 0
1543083607249633281 1656734775732 1543027674037239810 "['lulaeopteuvocebrasilinteirinho', 'lulaeopteuvocêbrasilinteirinho']" 0.3625 0 1
1543083854763888641 1656734834744  "['esquerda', 'bolsonarogenocida', 'lulaoficial', 'eleições2022', 'zéruela', 'genocida', 'gado', 'bostosauro', 'bolsonarovtnc', '02deoutubro', 'forabolsonaro', 'lula13']" 0.14 0 1
1543083942789763074 1656734855731 1538206120443056128 "['luladrao', 'lulavergonhadobrasil', 'cpidoptepcc', 'lulanacadeia']" 0.33 0 0
1543084087388372992 1656734890206 1543060999892246528 "['lulaladraoseulugarenaprisao', 'bolsonaroreeleito2022']" 0.16 0 0
1543084159438053379 1656734907384 1543003366829264902 "['luladrao', 'cpidoptepcc']" 0.33 0 0
1543084761408802817 1656735050905  "['lulanoprimeiroturno', 'lula13presidente']" 0.33 0 0
1543084818510090241 1656735064519 1543081047046455297 "['13depontaaponta', 'lulanoprimeiroturno']" 0.28 1 0
1543085260660940800 1656735169936  "['lulanoprimeiroturno', 'bolsonarocorrupto', 'bolsonaronacadeia']" 0.01 0 1
1543085612881924097 1656735253912 1543001793201901568 "['naovairolarfachin', 'lulanacadeia']" 0.13 0 1
1543085760508837890 1656735289109  "['bolsonaroreeleitoem2022', 'bolsonaronoprimeiroturno']" 0.08 0 0
1543085869577523205 1656735315113  "['lulaeopteuvocebrasilinteirinho', 'lulaeoptmeubrasildevolta']" 0.09 0 0
1543085981800316933 1656735341869  "['bolsonaroreeleito2022', 'bolsonarotemrazao', 'bolsonaronoprimeiroturno']" 0.03 0 1
1543086032182132737 1656735353881  "['lulanoprimeiroturno', 'vamosjuntospelobrasil']" 0.34 1 0
1543086465248366594 1656735457132 1543065588964139008 "['𝐕𝐚𝐦𝐨𝐬𝐉𝐮𝐧𝐭𝐨𝐬𝐏𝐞𝐥𝐨𝐁𝐫𝐚𝐬𝐢𝐥', '𝐇𝐚𝐝𝐝𝐚𝐝𝐆𝐨𝐯𝐞𝐫𝐧𝐚𝐝𝐨𝐫𝐒𝐏', 'lulanoprimeiroturno', '𝐋𝐔𝐋𝐀𝐏𝐑𝐄𝐒𝐈𝐃𝐄𝐍𝐓𝐄𝟐𝟎𝟐𝟐', '𝐚𝐥𝐞𝐧𝐜𝐚𝐫𝐬𝐚𝐧𝐭𝐚𝐧𝐚', '𝐕𝐢𝐜𝐞𝐧𝐭𝐢𝐧𝐡𝐨']" 0.26 1 0
1543086743192326145 1656735523399  "['bolsonarovagabundo', 'bolsonaronacadeia']" 0.33 0 1
1543086864776810496 1656735552387  "['lulaeopteuvocebrasilinteirinho', 'lulanoprimeiroturno']" 0.3 0 1
1543087171543916545 1656735625526  "['bolsonarovagabundo', 'bolsonaronacadeia']" 0.33 0 1
1543087743068262402 1656735761788  "['fechadocombolsonaro', 'shutupadele', 'bolsonaroreeleitoemnomedejesus', 'bolsonaroreeleito', 'bolsonaroreeleitonoprimeiroturno', 'bolsonaro22', 'bolsonarotemrazao', 'nossabandeirajamaisseravermelha']" 0.32 0 0
1543087789939560448 1656735772963  "['fechadocombolsonaro', 'bolsonaroreeleitoemnomedejesus', 'bolsonaroreeleito', 'bolsonaroreeleitonoprimeiroturno', 'bolsonaro22', 'bolsonarotemrazao', 'nossabandeirajamaisseravermelha']" 0.32 0 0
1543087816741109760 1656735779353  "['luladrão', 'saianasruasbandido', 'saianasruasluladrão']" 0.4 -1 1
1543088058727366656 1656735837047  "['lulanoprimeiroturno', 'lulaeoptmeubrasildevolta', 'lulanosenchedeesperanca']" 0.31 0 1
1543088095633063936 1656735845846  "['fechadocombolsonaro', 'bolsonaroreeleitoemnomedejesus', 'bolsonaroreeleito', 'bolsonaroreeleitonoprimeiroturno', 'bolsonaro22', 'bolsonarotemrazao', 'nossabandeirajamaisseravermelha']" 0.32 0 0
1543088145830498306 1656735857814  "['lulanuncamais', 'cpidoptepcc']" 0.32 0 0
1543088169452797953 1656735863446  "['cpidopcc', 'bolsonaroreeleitoem2022']" 0.42 0 1
1543088240596582402 1656735880408  "['foralula', 'ptnuncamais', 'bolsonarotemrazao']" 0.61 -1 1
1543088529248604161 1656735949228  "['lulanoprimeiroturno', 'bolsonarocorrupto', 'lulaeopteuvocêbrasilinteirinho']" 0.2 0 0
1543088985047793664 1656736057899  "['mídiamarrom', 'luladrão', 'cnnlixo', 'saianasruasbandido', 'saianasruasluladrão']" 0.4 0 1
1543089058368339970 1656736075380  "['bolsonaronoprimeiroturno', 'bolsonarotemrazao']" 0.03 0 0
1543089122776080388 1656736090736  "['mídiamarrom', 'luladrão', 'cnnlixo', 'saianasruasbandido', 'saianasruasluladrão']" 0.4 0 1
1543089363214602240 1656736148061  "['cpidopcc', 'cpidoptepcc']" 0.31 0 1
1543089796633055233 1656736251396 1542480604431777794 "['cpidoptepcc', 'bolsonarotemrazao']" 0.38 0 1
1543090502119165952 1656736419597  "['cpidopcc', 'cpidoptepcc']" 0.31 0 1
