id_str timestamp_ms quoted_status.id_str hashtags botscore sentiment toxicity
1546856583749042177 1657634323428  "['forabolsonaroesuaquadrilha', 'lulanoprimeiroturno', 'lulaeoptunindoobrasil', 'lulaeleitonoprimeiroturno']" 0.24 0 0
1546856846710939649 1657634386123  "['anittaapoiacrime', 'gayscombolsonaro', 'bolsonaroreeleito2022', 'bolsonaronoprimeiroturno']" 0.28 0 0
1546856990797873153 1657634420476  "['ptnuncamais', 'forabolsonaro']" 0.27 0 1
1546857066140246017 1657634438439  "['lulanoprimeiroturno', 'haddadgovernadorsp', 'vamosjuntospelobrasil']" 0.39 0 0
1546857096943132673 1657634445783 1546796882508267521 "['hungary', 'peace', 'bolsonarotemrazao']" 0.44 2 1
1546857302141112321 1657634494706  "['luladrao', 'anitaapoiaocrime']" 0.14 0 1
1546857338186907651 1657634503300  "['13emtudo', 'lula13presidente']" 0.25 0 1
1546857399939735552 1657634518023 1545148566473154562 "['lulaladrao', 'stfvergonhanacional', 'lulanuncamais', 'ptnuncamais', 'stforganizacaocriminosa', 'lulanacadeia', 'ptepccjuntos', 'stfvergonhamundial', 'stfpuxadinhodopt']" 0.31 1 0
1546857452410474500 1657634530533 1546848725410226176 "['lulanoprimeiroturno', 'vamosjuntospelobrasil', 'lulaeoptunindoobrasil', 'lula13presidente']" 0.42 0 0
1546857452624384000 1657634530584  "['bolsonarismomata', 'vamosjuntospelobrasil', 'lulapresidente2022']" 0.32 0 1
1546857536690716672 1657634550627 1546653071727595521 "['bolsonaroreeleitonoprimeiroturno', 'luladrao']" 0.02 0 1
1546857621772292096 1657634570912  "['luladrao', 'anitaapoiaocrime']" 0.14 0 1
1546857699832471553 1657634589523  "['deus', 'lula2022', 'juntospelobrasil', 'abençoe', 'pt13']" 0.43 -1 0
1546857717695975425 1657634593782  "['bolsonaroreeleito2022', 'bolsonaronoprimeiroturno', 'bolsobraga2022']" 0.31 -1 0
1546857734842220547 1657634597870  "['luladrao', 'anitaapoiaocrime']" 0.14 0 1
1546857846415020034 1657634624471  "['luladrao', 'anitaapoiaocrime']" 0.14 0 1
1546857851867521032 1657634625771  "['bolsonarismoéumadoença', 'bolsonarismomata', 'lulanoprimeiroturno']" 0.16 0 0
1546857915625226241 1657634640972  "['luladrao', 'anitaapoiaocrime']" 0.14 0 1
1546857922327715841 1657634642570 1546855367090511879 "['bolsonaronoprimeiroturno', 'bolsonarotemrazao']" 0.27 0 0
1546857947749392393 1657634648631  "['luladrao', 'anitaapoiaocrime']" 0.14 0 1
1546858320451051522 1657634737490 1546857452410474500 "['anittalulou', '13rasil']" 0.39 0 1
1546858324859174915 1657634738541  "['lulanoprimeiroturno', 'vamosjuntospelobrasil']" 0.16 -1 0
1546858408581767170 1657634758502  "['forabolsonaro', 'impeachmentbolsonaro', 'bolsonarismomata', 'ditaduranuncamais', 'jairbolsonaro', 'lula13', 'somos70porcento']" 0.24 0 1
1546858562030342144 1657634795087  "['bolsonaroreeleito2022', 'bolsonaronoprimeiroturno']" 0.47 0 1
1546858569856942081 1657634796953  "['lulaeleitonoprimeiroturno', 'lulanoprimeiroturno']" 0.35 1 0
1546858644632997889 1657634814781  "['lulanoprimeiroturno', 'lulaeoptunindoobrasil', 'vamosjuntospelobrasil', 'marceloarrudapresente', 'anittalulou', 'cpidavendadaeletrobras', 'bolsonarismomata']" 0.19 -3 0
1546858653004742656 1657634816777  "['lulanoprimeiroturno', 'lulanossopresidente', 'lulapresidente', 'lulaptunidosvenceremos', 'lula13', 'voltalula']" 0.24 0 1
1546858685892362243 1657634824618  "['bolsonaroreeleito2022', 'bolsonaro22']" 0.28 0 0
1546858811062902786 1657634854461  "['urgente', 'cnnlixo', 'bolsonaroreeleitoem2022']" 0.13 -1 0
1546859024112664577 1657634905256 1546857578604396544 "['lulanoprimeiroturno', 'lulaeoptunindoobrasil', 'lulaapoiaavida']" 0.5533333333333332 0 1
1546859076033839104 1657634917635  "['luladrao', 'lulavergonhadobrasil']" 0.09 -1 1
1546859214685016064 1657634950692  "['vamosjuntospelobrasil', 'lulaeoptunindoobrasil', 'cpidavendadaeletrobras']" 0.33 0 0
1546859317944614913 1657634975311  "['lulavergonhadobrasil', 'ptnuncamais']" 0.58 0 1
1546859324839952384 1657634976955  "['lulanacadeia', 'lulavergonhadobrasil', 'luladrao', 'ptnuncamais']" 0.32 0 1
1546859438937628673 1657635004158  "['deus', 'lula2022', 'juntospelobrasil', 'abençoe', 'pt13']" 0.34 -1 0
1546859605854244864 1657635043954  "['bolsonaroreeleito2022', 'bolsonaronoprimeiroturno']" 0.42 0 0
1546859689119555585 1657635063806  "['lulaeleitonoprimeiroturno', 'fazol']" 0.37 0 0
1546859763937460228 1657635081644 1546840884737724416 "['lulanoprimeiroturno', 'euvoto13', 'equipelula', 'é13']" 0.17 1 0
1546859819889573889 1657635094984 1546809428896370688 "['lulanoprimeiroturno', 'euvoto13', 'é13']" 0.17 1 0
1546860062546792449 1657635152838 1546819074436599810 "['lulanoprimeiroturno', 'euvoto13', 'é13']" 0.17 1 0
1546860154498457601 1657635174761  "['forabolsonaro', 'foravagabundos', 'foragenocida', 'lula13', 'foracanalhas']" 0.23 -1 0
1546860183585947648 1657635181696 1546830925077569537 "['estadao', 'natal', 'direitaunida', 'cnnbrasil', 'diariodonordeste', 'camaradeputados', 'diariodepernambuco', 'jovempannews', 'estadodeminas', 'senadofederal', 'uolnews', 'opovo', 'primeiramentelulanacadeia', 'oglobo', 'folha', 'recife', 'edicao10']" 0.54 0 0
1546860195367862275 1657635184505 1546796882508267521 "['anittaapoiacrime', 'anittaapoiacriminosos', 'brasilcombolsonaro', 'peace', 'brazil', 'anittaepcc', 'hungary']" 0.36 0 0
1546860197276270592 1657635184960 1546817212152938496 "['lulanoprimeiroturno', 'euvoto13', 'é13']" 0.17 1 0
1546860197888643072 1657635185106 1546859640020934657 "['votomudatudo', 'nemlulanembolsonaronuncamais', 'populismobaratonuncamais', 'mudabrasil']" 0.51 0 0
1546860211373309954 1657635188321  "['lulaladrao', 'lulavergonhadobrasil', 'lulanacadeia']" 0.08 0 0
1546860261973311489 1657635200385  "['lulanoprimeiroturno', 'lulaeoptunindoobrasil', 'lulaapoiaavida']" 0.33 0 1
1546860334367084547 1657635217645 1546413921191559169 "['votomudatudo', 'lulopetismo', 'bolsonarismo', 'mudabrasil']" 0.51 0 0
1546860481863901184 1657635252811 1546574680810835968 "['tmj', 'lulanoprimeiroturno', 'euvoto13', 'é13']" 0.17 1 0
1546860537027362817 1657635265963 1546840884737724416 "['lulanoprimeiroturno', 'vamosjuntospelobrasil']" 0.21 0 0
1546860543398535168 1657635267482  "['reinaldoazevedo', 'lula', 'vazabozo', 'alexandrefossatti', 'lulanotweet', 'pt', 'partidodostrabalhadores', 'brasil']" 0.52 0 1
1546860579440283651 1657635276075  "['bolsonaroreeleitonoprimeiroturno', 'auxiliobrasil', 'bolsonaro2022']" 0.15 0 0
1546860630786940930 1657635288317  "['lulanuncamais', 'lulanacadeia', 'fechadoscombolsonarosempre']" 0.35 0 0
1546860633454510082 1657635288953  "['lulanoprimeiroturno', 'vamosjuntospelobrasil']" 0.21 0 0
1546860657345273857 1657635294649  "['forabolsonaro', 'impeachmentbolsonaro', 'bolsonarismomata', 'ditaduranuncamais', 'jairbolsonaro', 'somos70porcento']" 0.24 0 1
1546860666799153152 1657635296903 1546858176137543681 "['forabozo', 'bolsolaodomec', 'cpidobolsolão']" 0.5 -1 0
1546860743596904449 1657635315213 1546840887031959553 "['lulanoprimeiroturno', 'vamosjuntospelobrasil', 'equipelula']" 0.21 0 0
