id_str timestamp_ms quoted_status.id_str hashtags botscore sentiment toxicity
1547431036535148544 1657771283645  "['lulalahaddadaqui', 'vamosjuntospelobrasil']" 0.52 1 0
1547431216751812609 1657771326612  "['bolsonaroassassino', 'bolsonarismomata', 'lula13', 'lulanoprimeiroturno', 'lulaestadistadoplaneta']" 0.15 -1 0
1547431469592846337 1657771386894  "['bolsonaroreeleito', 'bolsonaro22']" 0.13 0 1
1547432101149954049 1657771537469 1547154954862960642 "['venezuela', 'producciónporlapatria']" 0.03 0 0
1547432284986515456 1657771581299  "['lulanoprimeiroturno', 'vamosjuntospelobrasil']" 0.34 0 0
1547432334793883649 1657771593174  "['lulanoprimeiroturno', 'vamosjuntospelobrasil']" 0.34 0 0
1547432380654407680 1657771604108  "['lulanoprimeiroturno', 'vamosjuntospelobrasil']" 0.34 0 0
1547432425000681478 1657771614681  "['lulanoprimeiroturno', 'vamosjuntospelobrasil']" 0.34 0 0
1547432470081044480 1657771625429  "['lulanoprimeiroturno', 'vamosjuntospelobrasil']" 0.34 0 1
1547432543787618305 1657771643002  "['lulanoprimeiroturno', 'vamosjuntospelobrasil']" 0.34 0 0
1547432638595620866 1657771665606  "['lulavergonhadobrasil', 'nuncafoipelosmaispobres', 'lulaeoptdestruiramobrasil']" 0.17 0 1
1547432932117286912 1657771735587  "['lulanoprimeiroturno', 'vamosjuntospelobrasil']" 0.34 0 0
1547432952015081473 1657771740331  "['esquerdanuncamais', 'esquerdacriminosa', 'luladrao']" 0.33 -2 1
1547432979047321600 1657771746776  "['lulanoprimeiroturno', 'vamosjuntospelobrasil']" 0.34 0 0
1547433705782001666 1657771920043  "['lulavergonhadobrasil', 'presidentebolsonaro2022', 'apoiototalpresidentebolsonaro', 'luladrao']" 0.27 -1 0
1547434124084146176 1657772019774  "['lulavergonhadobrasil', 'luladrao']" 0.27 0 0
1547434174444961792 1657772031781  "['lulanoprimeiroturno', 'bolsonaronacadeia']" 0.27 0 0
